Jobp	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5	Desc1	Desc2	Desc3	Desc4	Desc5
Eat_Item_EarthEssence											Ta tuyệt đối không ăn Địa Mẫu linh dịch, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn Địa Mẫu linh dịch	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn Địa Mẫu linh dịch	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn Địa Mẫu linh dịch	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn Địa Mẫu linh dịch
Eat_Item_SilverGrit											Ta tuyệt đối không ăn hàn tinh cát, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn hàn tinh cát	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn hàn tinh cát	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn hàn tinh cát	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn hàn tinh cát
Eat_Item_CopperGrit											Ta tuyệt đối không ăn lửa Đồng Sa, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn lửa Đồng Sa	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn lửa Đồng Sa	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn lửa Đồng Sa	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn lửa Đồng Sa
Eat_Item_Cinnabar											Ta tuyệt đối không ăn chu sa, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn chu sa	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn chu sa	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn chu sa	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn chu sa
Eat_Item_LingMuXueJie											Ta tuyệt đối không ăn linh mộc máu kiệt, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn linh mộc máu kiệt	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn linh mộc máu kiệt	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn linh mộc máu kiệt	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn linh mộc máu kiệt
Eat_Item_EarthEssence_1											Ta tuyệt đối không ăn Linh tủy son, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn Linh tủy son	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn Linh tủy son	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn Linh tủy son	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn Linh tủy son
Eat_Item_EarthEssence1_1											Ta tuyệt đối không ăn máu tủy son, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn máu tủy son	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn máu tủy son	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn máu tủy son	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn máu tủy son
Eat_Item_Healroot											Ta tuyệt đối không uống thuốc cỏ, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ uống thuốc cỏ	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ uống thuốc cỏ	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ uống thuốc cỏ	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ uống thuốc cỏ
Eat_Item_Mint											Ta tuyệt đối không ăn thanh tâm cỏ, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn thanh tâm cỏ	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn thanh tâm cỏ	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn thanh tâm cỏ	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn thanh tâm cỏ
Eat_Item_MagicHerb											Ta tuyệt đối không ăn linh tiên cỏ, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn linh tiên cỏ	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn linh tiên cỏ	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn linh tiên cỏ	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn linh tiên cỏ
Eat_Item_Laxative											Ta tuyệt đối không ăn thông tiết tán, trừ phi đút ta	Ta tại có thể hấp thu dược vật thời điểm, thỉnh thoảng sẽ ăn thông tiết tán	Ta tại có thể hấp thu dược vật thời điểm, có khả năng sẽ ăn thông tiết tán	Ta tại có thể hấp thu dược vật thời điểm, có đôi khi sẽ ăn thông tiết tán	Ta tại có thể hấp thu dược vật thời điểm, thường xuyên sẽ ăn thông tiết tán
ESkill											Ta sẽ không chủ động sử dụng đối địch phương thuật pháp	Ta sẽ đối với linh khí giá trị thấp nhất địch quân phóng thích kỹ năng	Ta sẽ đối với linh khí giá trị tỉ lệ phần trăm thấp nhất địch quân phóng thích kỹ năng	Ta sẽ đối với linh khí giá trị tối cao địch quân phóng thích kỹ năng	Ta sẽ đối ngẫu nhiên địch quân phóng thích kỹ năng
FSkill											Ta sẽ không chủ động sử dụng đối phe bạn thuật pháp	Ta sẽ đối với linh khí giá trị thấp nhất phe bạn phóng thích kỹ năng	Ta sẽ đối với linh khí giá trị tỉ lệ phần trăm thấp nhất phe bạn phóng thích kỹ năng	Ta sẽ đối với linh khí giá trị tối cao phe bạn phóng thích kỹ năng	Ta sẽ đối ngẫu nhiên phe bạn phóng thích kỹ năng
Eat_Item_Bamboo											Ta tuyệt đối không ăn cây gậy trúc, trừ phi đút ta	Ta thỉnh thoảng sẽ ăn cây gậy trúc	Ta có khả năng sẽ ăn cây gậy trúc	Ta có đôi khi sẽ ăn cây gậy trúc	Ta tại thường xuyên sẽ ăn cây gậy trúc
Eat_Item_BambooShoot											Ta tuyệt đối không ăn măng, trừ phi đút ta	Ta thỉnh thoảng sẽ ăn măng	Ta có khả năng sẽ ăn măng	Ta có đôi khi sẽ ăn măng	Ta thường xuyên sẽ ăn măng
Eat_Item_WuDang_HuangJingFen											Ta tuyệt đối không ăn hoàng tinh phấn, trừ phi đút ta	Ta tại có thể uống thuốc vật thời điểm, thỉnh thoảng sẽ ăn hoàng tinh phấn	Ta tại có thể uống thuốc vật thời điểm, có khả năng sẽ ăn hoàng tinh phấn	Ta tại có thể uống thuốc vật thời điểm, có đôi khi sẽ ăn hoàng tinh phấn	Ta tại có thể uống thuốc vật thời điểm, thường xuyên sẽ ăn hoàng tinh phấn
Eat_Item_Dan_WuQiNoHunger2											Ta tuyệt đối không ăn ngũ khí Tích Cốc đan, trừ phi đút ta	Ta tại có thể uống thuốc vật thời điểm, thỉnh thoảng sẽ ăn ngũ khí Tích Cốc đan	Ta tại có thể uống thuốc vật thời điểm, có khả năng sẽ ăn ngũ khí Tích Cốc đan	Ta tại có thể uống thuốc vật thời điểm, có đôi khi sẽ ăn ngũ khí Tích Cốc đan	Ta tại có thể uống thuốc vật thời điểm, thường xuyên sẽ ăn ngũ khí Tích Cốc đan
Eat_Item_Dan_SanHuaHuangJing											Ta tuyệt đối không ăn tam hoa hoàng tinh hoàn, trừ phi đút ta	Ta tại có thể uống thuốc vật thời điểm, thỉnh thoảng sẽ ăn tam hoa hoàng tinh hoàn	Ta tại có thể uống thuốc vật thời điểm, có khả năng sẽ ăn tam hoa hoàng tinh hoàn	Ta tại có thể uống thuốc vật thời điểm, có đôi khi sẽ ăn tam hoa hoàng tinh hoàn	Ta tại có thể uống thuốc vật thời điểm, thường xuyên sẽ ăn tam hoa hoàng tinh hoàn
