talk	notarget	int	string	float	thing
WannaEat_Item_BossZhuLong_Meat					Ta rất muốn ăn nguyên sơ huyết nhục
WannaEat_Item_Cake					Ta rất muốn ăn bánh mì
WannaEat_Item_MonsterBlood					Ta rất muốn ăn yêu linh máu
WannaEat_Item_EarthEssence					Ta rất muốn ăn Địa Mẫu linh dịch
WannaEat_Item_SilverGrit					Ta rất muốn ăn hàn tinh cát
WannaEat_Item_CopperGrit					Ta rất muốn ăn lửa Đồng Sa
WannaEat_Item_Cinnabar					Ta rất muốn ăn chu sa
WannaEat_Item_LingMuXueJie					Ta rất muốn ăn linh mộc máu kiệt
WannaEat_Item_EarthEssence_1					Ta rất muốn ăn Linh tủy son
WannaEat_Item_EarthEssence1_1					Ta rất muốn ăn máu tủy son
WannaEat_Item_Healroot					Ta rất muốn ăn dược thảo
WannaEat_Item_Mint					Ta rất muốn ăn thanh tâm cỏ
WannaEat_Item_MagicHerb					Ta rất muốn ăn linh tiên cỏ
WannaEat_Item_Laxative					Ta rất muốn ăn thông tiết tán
DoTalkEat_Item_SnakeGallbladder					Ta ngay tại ăn mật rắn
DoTalkEat_Item_BearGallbladder					Ta ngay tại ăn mật gấu
DoTalkEat_Item_RedGinseng					Ta ngay tại ăn nhân sâm đỏ
DoTalkEat_Item_PurpleGanodermaLucidum					Ta ngay tại ăn Tử Chi
DoTalkEat_Item_TuEssence					Ta ngay tại ăn giả hoàng tinh
DoTalkEat_Item_HuoEssence					Ta ngay tại ăn chu quả
DoTalkEat_Item_ShuiEssence					Ta ngay tại ăn ngũ sắc Kim Liên
DoTalkEat_Item_JinEssence					Ta ngay tại ăn Lang Gia quả
DoTalkEat_Item_MuEssence					Ta ngay tại ăn mộc Khô Đằng
DoTalkEat_Item_LifeStream					Ta ngay tại ăn trường sinh suối
DoTalkEat_Item_LongEgg					Ta ngay tại ăn giao long trứng
DoTalkEat_Item_FengEgg					Ta ngay tại ăn Phượng Hoàng trứng
DoTalkEat_Item_DragonShit					Ta ngay tại ăn thiên long cát
DoTalkEat_Item_Jiaozi					Ta ngay tại ăn sủi cảo
DoTalkEat_Item_BossFeng_Meat					Ta ngay tại ăn hung phượng huyết nhục
DoTalkEat_Item_BossLong_Meat					Ta ngay tại ăn giao long huyết nhục
DoTalkEat_Item_BossZhuLong_Meat					Ta ngay tại ăn nguyên sơ huyết nhục
DoTalkEat_Item_Cake					Ta ngay tại ăn mì bánh
DoTalkEat_Item_MonsterBlood					Ta ngay tại ăn yêu linh máu
DoTalkEat_Item_EarthEssence					Ta ngay tại ăn Địa Mẫu linh dịch
DoTalkEat_Item_SilverGrit					Ta ngay tại ăn hàn tinh cát
DoTalkEat_Item_CopperGrit					Ta ngay tại ăn lửa Đồng Sa
DoTalkEat_Item_Cinnabar					Ta ngay tại ăn chu sa
DoTalkEat_Item_LingMuXueJie					Ta ngay tại ăn linh mộc máu kiệt
DoTalkEat_Item_EarthEssence_1					Ta ngay tại ăn Linh tủy son
DoTalkEat_Item_EarthEssence1_1					Ta ngay tại ăn máu tủy son
DoTalkEat_Item_Healroot					Ta ngay tại uống thuốc cỏ
DoTalkEat_Item_Mint					Ta ngay tại ăn thanh tâm cỏ
DoTalkEat_Item_MagicHerb					Ta ngay tại ăn linh tiên cỏ
DoTalkEat_Item_Laxative					Ta ngay tại ăn thông tiết tán
CantEat_Item_SnakeGallbladder	Ta tìm không thấy mật rắn có thể ăn				
CantEat_Item_BearGallbladder	Ta tìm không thấy mật gấu có thể ăn				
CantEat_Item_RedGinseng	Ta tìm không thấy nhân sâm đỏ có thể ăn				
CantEat_Item_PurpleGanodermaLucidum	Ta tìm không thấy Tử Chi có thể ăn				
CantEat_Item_TuEssence	Ta tìm không thấy giả hoàng tinh có thể ăn				
CantEat_Item_HuoEssence	Ta tìm không thấy chu quả có thể ăn				
CantEat_Item_ShuiEssence	Ta tìm không thấy ngũ sắc có thể ăn				
CantEat_Item_JinEssence	Ta tìm không thấy Lang Gia quả có thể ăn				
CantEat_Item_MuEssence	Ta tìm không thấy mộc Khô Đằng có thể ăn				
CantEat_Item_LifeStream	Ta tìm không thấy trường sinh suối có thể ăn				
CantEat_Item_LongEgg	Ta tìm không thấy giao long trứng có thể ăn				
CantEat_Item_FengEgg	Ta tìm không thấy Phượng Hoàng trứng có thể ăn				
CantEat_Item_DragonShit	Ta tìm không thấy thiên long cát có thể ăn				
CantEat_Item_Jiaozi	Ta tìm không thấy sủi cảo có thể ăn				
CantEat_Item_BossFeng_Meat	Ta tìm không thấy hung phượng huyết nhục có thể ăn				
CantEat_Item_BossLong_Meat	Ta tìm không thấy giao long huyết nhục có thể ăn				
CantEat_Item_BossZhuLong_Meat	Ta tìm không thấy nguyên sơ huyết nhục có thể ăn				
CantEat_Item_Cake	Ta tìm không thấy bánh mì có thể ăn				
CantEat_Item_MonsterBlood	Ta tìm không thấy yêu linh máu có thể ăn				
CantEat_Item_EarthEssence	Ta tìm không thấy Địa Mẫu linh dịch có thể ăn				
CantEat_Item_SilverGrit	Ta tìm không thấy hàn tinh cát có thể ăn				
CantEat_Item_CopperGrit	Ta tìm không thấy lửa Đồng Sa có thể ăn				
CantEat_Item_Cinnabar	Ta tìm không thấy chu sa có thể ăn				
CantEat_Item_LingMuXueJie	Ta tìm không thấy linh mộc máu kiệt có thể ăn				
CantEat_Item_EarthEssence_1	Ta tìm không thấy Linh tủy son có thể ăn				
CantEat_Item_EarthEssence1_1	Ta tìm không thấy máu tủy son có thể ăn				
CantEat_Item_Healroot	Ta tìm không thấy dược thảo có thể ăn				
CantEat_Item_Mint	Ta tìm không thấy thanh tâm cỏ có thể ăn				
CantEat_Item_MagicHerb	Ta tìm không thấy linh tiên cỏ có thể ăn				
CantEat_Item_Laxative	Ta tìm không thấy thông tiết tán có thể ăn				
Leave1					{0}, trên đường chú ý an toàn
Leave2					Về sớm một chút a, {0}
Leave3					Thuận buồm xuôi gió, {0}
Back1					{0}, ngươi rốt cục trở về
Back2					Hoan nghênh về nhà, {0}
Back3					Ta rất nhớ ngươi a, {0}
NotBack1					{0} Làm sao còn chưa có trở lại
NotBack2					{0} Đi làm cái gì
NotBack3					Không biết {0} Thế nào
BackComa1					{0}, ngươi thế nào
BackComa2					{0} Cần trợ giúp
BackComa3					{0} Chịu đựng
SleepHelp1					{0}, nhanh lên tốt a
SleepHelp2					{0}, nhanh lên tốt a
SleepHelp3					{0}, nhanh lên tốt a
Lacrimosa1		...			
Lacrimosa2		...			
Lacrimosa3		...			
QiGan_FullTalk	Ta linh khí đến hạn mức cao nhất				
NeiDan_FullTalk	Ta ngự đan đến hạn mức cao nhất				
HuTi_FullTalk	Ta hộ thể đến hạn mức cao nhất				
LingZhi_FullTalk	Linh trí của ta đến hạn mức cao nhất				
ShuFa_FullTalk	Ta thuật pháp đến hạn mức cao nhất				
