Key	Value
丑时,鸡鸣时分,四更时分,星垂夜阔,西月微斜	Giờ sửu, gà gáy thời gian, bốn canh thời gian, tinh rủ xuống đêm rộng, tây nguyệt hơi nghiêng
寅时,黎明时分,平旦之时,五更时分,月沉西落,东方渐白	Giờ Dần, lúc tờ mờ sáng, rạng sáng thời điểm, canh năm, nguyệt chìm lặn về phía tây, phương đông dần dần bạch
卯时,日出时分,破晓时分,日始时分,清晨初雾,晨光初露	Giờ Mão, mặt trời mọc thời gian, tảng sáng thời gian, nhật bắt đầu thời gian, sáng sớm sơ sương mù, nắng sớm sơ lộ
辰时,早食之刻,日初之时,生气苏始	Giờ Thìn, sớm ăn thời khắc, nhật sơ thời điểm, sinh khí tô bắt đầu
巳时,日禺之时,隅中时分	Giờ Tỵ, nhật ngu thời điểm, góc bên trong thời gian
午时,日中之时,正午之时,响午时分	Buổi trưa, trong ngày thời điểm, giữa trưa thời điểm, vang giữa trưa
未时,日央之刻,日昳时分,日斜心慵	Giờ Mùi, nhật ương thời khắc, nhật điệt thời gian, nhật nghiêng tâm thung
申时,夕食之刻,日闲之时,响午之后	Giờ Thân, tịch ăn thời khắc, nhật nhàn thời điểm, vang buổi trưa về sau
酉时,日落时分,日沉之刻,傍晚时分,暮色怅晚,鸟倦云舒	Giờ Dậu, mặt trời lặn thời gian, nhật chìm thời khắc, lúc chạng vạng tối, hoàng hôn trướng muộn, Điểu Quyện mây thư
戌时,黄昏时分,日夕之刻,日暮时分,起更之时,华灯初上	Giờ Tuất, đang lúc hoàng hôn, ngày đêm thời khắc, hoàng hôn thời gian, trống canh một thời điểm, đèn hoa mới lên
亥时,人定之时,二更时分,夜深人静,月上柳梢,夜幕深沉	Giờ Hợi, người định thời điểm, canh hai thời gian, trời tối người yên, trăng lên ngọn liễu, màn đêm thâm trầm
舒服	Dễ chịu
开心	Vui vẻ
工作	Công việc
在工作之时，正感觉有点无聊	Đang làm việc thời điểm, đang cảm giác có chút nhàm chán
在工作之时，突然心有所感	Đang làm việc thời điểm, đột nhiên lòng có cảm giác
在工作间余，刚小憩片刻	Đang làm việc ở giữa dư, vừa nghỉ ngơi một lát
在工作之时，突觉莫名伤心	Đang làm việc thời điểm, chợt cảm thấy không hiểu thương tâm
在工作之时，正累的气喘吁吁	Đang làm việc thời điểm, chính mệt mỏi thở hồng hộc
在工作时，突然走神	Trong lúc làm việc, đột nhiên thất thần
在工作时略有所得，正喜上眉梢	Trong lúc làm việc có chút tâm đắc, chính vui mừng nhướng mày
工作不顺，觉得有点灰心	Công việc không thuận, cảm thấy có chút nản chí
正专心工作	Chính chuyên tâm làm việc
无心工作，正想偷懒	Vô tâm công việc, đang muốn lười biếng
刚在工作时走了走神	Mới vừa ở công việc lúc đi thất thần
工作时仿佛犯冲，正感觉有点生气	Công việc lúc phảng phất xung đột, đang cảm giác có chút sinh khí
正在乐呵呵的工作中	Ngay tại vui vẻ trong công việc
施展神通	Thi triển thần thông
练功	Luyện công
意兴阑珊的准备开始今天的筑基功课	Ý hưng lan san chuẩn bị bắt đầu hôm nay trúc cơ công khóa
热身结束，刚准备开始筑基	Làm nóng người kết thúc, vừa mới chuẩn bị bắt đầu trúc cơ
在筑基之时，正感觉有点无聊	Tại trúc cơ thời điểm, đang cảm giác có chút nhàm chán
在筑基之时，突然心有所感	Tại trúc cơ thời điểm, đột nhiên lòng có cảm giác
在筑基间余，刚小憩片刻	Tại trúc cơ ở giữa dư, vừa nghỉ ngơi một lát
在筑基之时，突觉莫名伤心	Tại trúc cơ thời điểm, chợt cảm thấy không hiểu thương tâm
在筑基时突然走神	Tại trúc cơ lúc đột nhiên thất thần
在筑基时略有所得，喜上眉梢	Tại trúc cơ lúc có chút tâm đắc, vui mừng nhướng mày
筑基不顺，觉得有点灰心	Trúc cơ không thuận, cảm thấy có chút nản chí
正专心筑基	Chính chuyên tâm trúc cơ
无心筑基，正想偷懒	Vô tâm trúc cơ, đang muốn lười biếng
筑基时处处受挫，正感觉有点生气	Trúc cơ lúc khắp nơi gặp khó, đang cảm giác có chút sinh khí
正懒懒散散的筑基中	Chính biếng nhác trúc cơ bên trong
觉得筑基艰难，正有点灰心	Cảm thấy trúc cơ gian nan, đang có điểm nản chí
正在为筑基困扰	Ngay tại vì trúc cơ bối rối
筑基时走岔了气，正准备休息一下	Trúc cơ lúc đi ngõ khác khí, đang chuẩn bị nghỉ ngơi một chút
正在筑基	Ngay tại trúc cơ
练功筑基许久，正累的气喘吁吁	Luyện công trúc cơ hồi lâu, chính mệt mỏi thở hồng hộc
结束今天的筑基功课，刚准备擦擦汗	Kết thúc hôm nay trúc cơ công khóa, vừa mới chuẩn bị lau lau mồ hôi
刚结束今天的筑基功课	Vừa kết thúc hôm nay trúc cơ công khóa
刚完成筑基，正觉得有点意犹未尽	Vừa hoàn thành trúc cơ, chính cảm thấy có chút vẫn chưa thỏa mãn
突破	Đột \nphá
准备突破瓶颈	Chuẩn bị đột phá bình cảnh
突破瓶颈前，正觉得有点心神不宁	Đột phá bình cảnh trước, chính cảm thấy có điểm tâm thần không yên
信心满满，正准备突破瓶颈	Lòng tin tràn đầy, đang chuẩn bị đột phá bình cảnh
突破结束，正感慨大道难测	Đột phá kết thúc, chính cảm khái đại đạo khó dò
打坐修行	Đả tọa tu hành
刚准备开始修行	Vừa mới chuẩn bị bắt đầu tu hành
平心静气，准备修行	Bình tâm tĩnh khí, chuẩn bị tu hành
打坐修行许久，正准备休息一下	Đả tọa tu hành hồi lâu, đang chuẩn bị nghỉ ngơi một chút
此次修行大有所获，正感欣喜	Lần này tu hành rất có thu hoạch, chính cảm giác mừng rỡ
修行时总觉得心神不宁，正打算缓缓	Tu hành lúc luôn cảm thấy tâm thần có chút không tập trung, đang định chậm rãi
修炼时无法静心，刚走了会神	Lúc tu luyện không cách nào tĩnh tâm, mới vừa đi hội thần
在修行之时，正感觉杂念丛生	Tại tu hành thời điểm, đang cảm giác tạp niệm mọc thành bụi
被突然的悲伤打断了修行	Bị đột nhiên bi thương đánh gãy tu hành
在修行时略有所得，正略感欣喜	Tại tu hành lúc có chút tâm đắc, chính cảm thấy mừng rỡ
修行不顺，觉得有点灰心	Tu hành không thuận, cảm thấy có chút nản chí
正专心修行	Chính chuyên tâm tu hành
无心修行，正想偷懒	Vô tâm tu hành, đang muốn lười biếng
刚在修行时走了走神	Mới vừa ở tu hành lúc đi thất thần
修行时杂念频起，正感觉有点生气	Tu hành lúc tạp niệm nhiều lần lên, đang cảm giác có chút sinh khí
刚完成今天的修行	Vừa hoàn thành hôm nay tu hành
今天的修行结束，正感觉神完气足	Hôm nay tu hành kết thúc, đang cảm giác thần hoàn khí túc
闲来无事，准备练习秘法	Trong lúc rảnh rỗi, chuẩn bị luyện tập bí pháp
准备好仪轨符具，准备练习秘法	Chuẩn bị kỹ càng nghi quỹ phù cỗ, chuẩn bị luyện tập bí pháp
掐不准咒诀，正在恼火	Bóp không cho phép chú quyết, ngay tại nổi nóng
练习秘法时，正乐在其中	Luyện tập bí pháp lúc, chính thích thú
在练习秘法之时，正觉得心烦意乱	Đang luyện tập bí pháp thời điểm, chính cảm thấy tâm phiền ý loạn
在练习秘法间余，刚小憩片刻	Đang luyện tập bí pháp ở giữa dư, vừa nghỉ ngơi một lát
在练习秘法时，突然走神	Đang luyện tập bí pháp lúc, đột nhiên thất thần
在练习秘法时略有所得，刚准备收工	Đang luyện tập bí pháp lúc có chút tâm đắc, vừa mới chuẩn bị kết thúc công việc
练习秘法不顺，觉得有点灰心	Luyện tập bí pháp không thuận, cảm thấy có chút nản chí
正专心练习秘法	Chính chuyên tâm luyện tập bí pháp
无心练习秘法，正想偷懒	Vô tâm luyện tập bí pháp, đang muốn lười biếng
练习秘法完毕，正感觉十分疲惫	Luyện tập bí pháp hoàn tất, đang cảm giác mười phần mỏi mệt
整理好心情，准备开始练习护体	Chỉnh lý tốt tâm tình, chuẩn bị bắt đầu luyện tập hộ thể
想到又要练习护体，正觉得忧郁	Nghĩ đến lại muốn luyện tập hộ thể, chính cảm thấy u buồn
在练习护体之时，正觉得十分痛苦	Đang luyện tập hộ thể thời điểm, chính cảm thấy hết sức thống khổ
正咬牙坚持练习护体	Chính cắn răng kiên trì luyện tập hộ thể
在练习护体间余，刚小憩片刻	Đang luyện tập hộ thể ở giữa dư, vừa nghỉ ngơi một lát
在练习护体之时，正觉得生无可恋	Đang luyện tập hộ thể thời điểm, chính cảm thấy sinh không thể luyến
在练习护体时突然走神	Đang luyện tập hộ thể lúc đột nhiên thất thần
终于完成了此次护体练习，喜上眉梢	Rốt cục hoàn thành lần này hộ thể luyện tập, vui mừng nhướng mày
正专心练习护体	Chính chuyên tâm luyện tập hộ thể
无心练习护体，正想偷懒	Vô tâm luyện tập hộ thể, đang muốn lười biếng
正懒懒散散的练习护体中	Chính biếng nhác luyện tập hộ thể bên trong
觉得练习护体好难，正有点灰心	Cảm thấy luyện tập hộ thể thật là khó, đang có điểm nản chí
正在为要不要练习护体而困扰	Ngay tại làm quan trọng không muốn luyện tập hộ thể mà bối rối
练习护体时走岔了气，正准备休息一下	Luyện tập hộ thể lúc đi ngõ khác khí, đang chuẩn bị nghỉ ngơi một chút
正在练习护体	Đang luyện tập hộ thể
练习护体许久，正累的气喘吁吁	Luyện tập hộ thể hồi lâu, chính mệt mỏi thở hồng hộc
结束今天的练习护体功课，正疼的直咧嘴	Kết thúc hôm nay luyện tập hộ thể công khóa, chính đau đến ngoác mồm
刚结束今天的练习护体功课	Vừa kết thúc hôm nay luyện tập hộ thể công khóa
刚练完护体，正觉得有点意犹未尽	Vừa luyện qua hộ thể, chính cảm thấy có chút vẫn chưa thỏa mãn
凝神聚气，准备开始御剑练习	Ngưng thần tụ khí, chuẩn bị bắt đầu ngự kiếm luyện tập
准备开始练习御剑术	Chuẩn bị bắt đầu luyện tập Ngự Kiếm Thuật
在练习御剑之时，正因法宝太快而苦恼	Đang luyện tập ngự kiếm thời điểm, nguyên nhân chính là pháp bảo quá nhanh mà buồn rầu
正沉醉在御剑练习中	Đang chìm say tại ngự kiếm trong luyện tập
在练习御剑间余，刚小憩片刻	Đang luyện tập ngự kiếm ở giữa dư, vừa nghỉ ngơi một lát
在练习御剑时突然走神	Đang luyện tập ngự kiếm lúc đột nhiên thất thần
无心练习御剑术，正想偷懒	Vô tâm luyện tập Ngự Kiếm Thuật, đang muốn lười biếng
正心不在焉的练习御剑中	Chính tâm không yên lòng luyện tập ngự kiếm bên trong
觉得自己不是练剑的料，正有点灰心	Cảm thấy mình không phải luyện kiếm liệu, đang có điểm nản chí
正在犹豫要不要练剑	Ngay tại do dự muốn hay không luyện kiếm
练习御剑术时走岔了气，正调整内息	Luyện tập Ngự Kiếm Thuật lúc đi ngõ khác khí, chính trong quá trình điều chỉnh hơi thở
正在练习御剑术	Đang luyện tập Ngự Kiếm Thuật
练习御剑完毕，正觉得畅快淋漓	Luyện tập ngự kiếm hoàn tất, chính cảm thấy thoải mái lâm ly
结束今天的御剑功课，正准备收工	Kết thúc hôm nay ngự kiếm công khóa, đang chuẩn bị kết thúc công việc
刚结束今天的御剑功课	Vừa kết thúc hôm nay ngự kiếm công khóa
炼宝	Luyện bảo
焚香祈愿，准备开始炼制法宝	Đốt hương cầu nguyện, chuẩn bị bắt đầu luyện chế pháp bảo
心事重重的准备开始炼制法宝	Tâm sự nặng nề chuẩn bị bắt đầu luyện chế pháp bảo
炼制法宝结束，正感叹炼器之道博大精深	Luyện chế pháp bảo kết thúc, đang ngồi cảm thán con đường luyện khí bác đại tinh thâm
建造	Kiến tạo
在建筑工作之时，正感觉有点无聊	Tại kiến trúc công việc thời điểm, đang cảm giác có chút nhàm chán
在建筑工作之时，突然被思念袭击	Tại kiến trúc công việc thời điểm, đột nhiên bị tưởng niệm tập kích
在建筑工作间余，刚小憩片刻	Tại kiến trúc phòng làm việc dư, vừa nghỉ ngơi một lát
在建筑工作之时，正在胡思乱想	Tại kiến trúc công việc thời điểm, đang miên man suy nghĩ
在建筑工作时，正累的气喘吁吁	Tại kiến trúc công việc lúc, chính mệt mỏi thở hồng hộc
在建筑工作时，正忍不住神游天外	Tại kiến trúc công việc lúc, chính nhịn không được suy nghĩ viển vông
在建筑工作时，正快乐的哼着小调	Tại kiến trúc công việc lúc, chính vui vẻ hừ phát điệu hát dân gian
建筑工作不顺，觉得有点消沉	Kiến trúc công việc không thuận, cảm thấy có chút tinh thần sa sút
正专心建筑工作	Chính chuyên tâm kiến trúc công việc
无心建筑工作，正想偷懒	Vô tâm kiến trúc công việc, đang muốn lười biếng
建筑工作时连续失误，差点弄伤自己，正感觉有点生气	Kiến trúc công việc lúc liên tục sai lầm, kém chút làm bị thương mình, đang cảm giác có chút sinh khí
正在乐呵呵的建筑工作中	Ngay tại vui vẻ kiến trúc trong công việc
刚完成一个建筑，准备休息一下	Vừa hoàn thành một cái kiến trúc, chuẩn bị nghỉ ngơi một chút
刚完成建筑工作，准备洗洗手收工	Vừa hoàn thành kiến trúc công việc, chuẩn bị rửa tay một cái kết thúc công việc
正在准备工具，去执行建筑工作	Ngay tại chuẩn bị công cụ, đi chấp hành kiến trúc công việc
移除	Gỡ ra
在移除工作之时，正感觉有点无聊	Tại gỡ ra công việc thời điểm, đang cảm giác có chút nhàm chán
在移除工作之时，突然心烦意乱	Tại gỡ ra công việc thời điểm, đột nhiên tâm phiền ý loạn
在移除工作间余，刚小憩片刻	Tại gỡ ra phòng làm việc dư, vừa nghỉ ngơi một lát
在移除工作之时，正在胡思乱想	Tại gỡ ra công việc thời điểm, đang miên man suy nghĩ
在移除工作时，正累的气喘吁吁	Tại gỡ ra công việc lúc, chính mệt mỏi thở hồng hộc
在移除工作时，正忍不住神游天外	Tại gỡ ra công việc lúc, chính nhịn không được suy nghĩ viển vông
在移除工作时，正快乐的哼着小调	Tại gỡ ra công việc lúc, chính vui vẻ hừ phát điệu hát dân gian
移除工作不顺，觉得有点消沉	Gỡ ra công việc không thuận, cảm thấy có chút tinh thần sa sút
正专心移除工作	Chính chuyên tâm gỡ ra công việc
无心移除工作，正想偷懒	Vô tâm gỡ ra công việc, đang muốn lười biếng
正在乐呵呵的移除工作中	Ngay tại vui vẻ gỡ ra trong công việc
拆除	Dỡ bỏ
在拆迁建筑之时，正觉得很爽快	Tại phá dỡ kiến trúc thời điểm, chính cảm thấy rất sảng khoái
在拆迁建筑之时，突然想起了故乡	Tại phá dỡ kiến trúc thời điểm, đột nhiên nhớ tới cố hương
在拆迁建筑间余，刚小憩片刻	Tại phá dỡ kiến trúc ở giữa dư, vừa nghỉ ngơi một lát
在拆迁建筑之时，正在胡思乱想	Tại phá dỡ kiến trúc thời điểm, đang miên man suy nghĩ
在拆迁建筑时，正累的气喘吁吁	Tại phá dỡ kiến trúc lúc, chính mệt mỏi thở hồng hộc
在拆迁建筑时，正忍不住神游天外	Tại phá dỡ kiến trúc lúc, chính nhịn không được suy nghĩ viển vông
在拆迁建筑时，正快乐的哼着小调	Tại phá dỡ kiến trúc lúc, chính vui vẻ hừ phát điệu hát dân gian
拆迁建筑不顺，觉得有点消沉	Phá dỡ kiến trúc không thuận, cảm thấy có chút tinh thần sa sút
正专心拆迁建筑	Chính chuyên tâm phá dỡ kiến trúc
无心拆迁建筑，正想偷懒	Vô tâm phá dỡ kiến trúc, đang muốn lười biếng
拆迁建筑时连续失误，差点弄伤自己，正感觉有点生气	Phá dỡ kiến trúc lúc liên tục sai lầm, kém chút làm bị thương mình, đang cảm giác có chút sinh khí
正在乐呵呵的拆迁建筑中	Ngay tại vui vẻ phá dỡ kiến trúc bên trong
刚拆完成一个建筑，正觉得有点可惜	Vừa dỡ sạch thành một cái kiến trúc, chính cảm thấy khá là đáng tiếc
正在准备工具，去执行拆迁工作	Ngay tại chuẩn bị công cụ, đi chấp hành phá dỡ công việc
进食	Ăn
正觉得很饿，准备吃点东西	Chính cảm thấy rất đói, chuẩn bị ăn một chút gì
正大口朵颐	Chính đại khẩu đóa di
吃东西中噎了自己一下，正慌忙的喝水	Ăn cái gì bên trong chẹn họng mình một chút, chính cuống quít uống nước
正一脸不痛快的吃饭	Chính một mặt không thoải mái ăn cơm
快乐的享受着进食的乐趣	Vui vẻ hưởng thụ lấy ăn niềm vui thú
吃东西呛了自己一口，正大声咳嗽	Ăn cái gì sặc mình một ngụm, chính đại âm thanh ho khan
吃东西时好像在思考什么，一脸凝重	Ăn cái gì lúc giống như đang suy nghĩ cái gì, một mặt ngưng trọng
刚刚吃饱喝足，正满意的拍肚子	Vừa mới ăn uống no đủ, chính hài lòng đập bụng
畅饮	Uống
正觉得很渴，准备喝点东西	Chính cảm thấy rất khát, chuẩn bị uống chút đồ vật
正大痛饮	Chính đại nâng ly
喝东西时呛了自己一下，正不住咳嗽	Uống đồ vật lúc sặc mình một chút, chính không được ho khan
正一脸不痛快的喝着什么	Chính một mặt không thoải mái uống vào cái gì
喝东西时好像在思考什么，一脸凝重	Uống đồ vật lúc giống như đang suy nghĩ cái gì, một mặt ngưng trọng
正在专心的照顾他人	Đang chuyên tâm chiếu cố người khác
照顾别人，正觉得有点无聊	Chiếu cố người khác, chính cảm thấy có chút nhàm chán
在照顾别人之时，正感觉有点无聊	Đang chiếu cố người khác thời điểm, đang cảm giác có chút nhàm chán
在照顾别人之时，突然心烦意乱	Đang chiếu cố người khác thời điểm, đột nhiên tâm phiền ý loạn
在照顾别人的间余，刚小憩片刻	Đang chiếu cố người khác ở giữa dư, vừa nghỉ ngơi một lát
在照顾别人之时，正在胡思乱想	Đang chiếu cố người khác thời điểm, đang miên man suy nghĩ
在照顾别人时，正快乐的哼着小调	Đang chiếu cố người khác lúc, chính vui vẻ hừ phát điệu hát dân gian
不太想照顾这个人，正准备偷懒	Không quá nghĩ chiếu cố người này, đang chuẩn bị lười biếng
正在享受照顾别人的幸福中	Ngay tại hưởng thụ chiếu cố hạnh phúc của người khác bên trong
修理	Sửa chữa
在修理建筑之时，正感觉有点无聊	Tại sửa chữa kiến trúc thời điểm, đang cảm giác có chút nhàm chán
在修理建筑间余，刚小憩片刻	Tại sửa chữa kiến trúc ở giữa dư, vừa nghỉ ngơi một lát
在修理建筑之时，正在胡思乱想	Tại sửa chữa kiến trúc thời điểm, đang miên man suy nghĩ
在修理建筑时，正累的气喘吁吁	Tại sửa chữa kiến trúc lúc, chính mệt mỏi thở hồng hộc
在修理建筑时，正忍不住神游天外	Tại sửa chữa kiến trúc lúc, chính nhịn không được suy nghĩ viển vông
在修理建筑时，正快乐的哼着小调	Tại sửa chữa kiến trúc lúc, chính vui vẻ hừ phát điệu hát dân gian
修理建筑不顺，觉得有点消沉	Sửa chữa kiến trúc không thuận, cảm thấy có chút tinh thần sa sút
正专心修理建筑	Chính chuyên tâm sửa chữa kiến trúc
无心修理建筑，正想偷懒	Vô tâm sửa chữa kiến trúc, đang muốn lười biếng
修理建筑时连续失误，差点弄伤自己，正感觉有点生气	Sửa chữa kiến trúc lúc liên tục sai lầm, kém chút làm bị thương mình, đang cảm giác có chút sinh khí
正在乐呵呵的修理建筑中	Ngay tại vui vẻ sửa chữa kiến trúc bên trong
刚完成修理建筑，准备洗洗手收工	Vừa hoàn thành sửa chữa kiến trúc, chuẩn bị rửa tay một cái kết thúc công việc
正在准备工具，去执行修理建筑	Ngay tại chuẩn bị công cụ, đi chấp hành sửa chữa kiến trúc
娱乐	Giải trí
正准备娱乐一下放松放松	Đang chuẩn bị giải trí một chút buông lỏng một chút
正惬意的享受自己的娱乐时间	Chính hài lòng hưởng thụ mình giải trí thời gian
刚刚玩了个痛快，正准备收收心	Vừa mới chơi thống khoái, đang chuẩn bị kiềm chế lại
正无所事事的消磨着时光	Chính không có việc gì làm hao mòn lấy thời gian
走路	Đi đường
正匆匆赶路	Chính vội vàng đi đường
正兴高采烈的赶路	Chính cao hứng bừng bừng đi đường
正面无表情的赶路	Chính diện không biểu lộ đi đường
正慢悠悠的走路	Chính chậm ung dung đi đường
赶路时略感疲惫，正准备歇一歇脚	Đi đường lúc cảm thấy mỏi mệt, đang chuẩn bị nghỉ một chút chân
搬运	Vận chuyển
在搬运之时，正感觉有点无聊	Tại vận chuyển thời điểm, đang cảm giác có chút nhàm chán
在搬运间余，刚小憩片刻	Tại vận chuyển ở giữa dư, vừa nghỉ ngơi một lát
在搬运之时，正在胡思乱想	Tại vận chuyển thời điểm, đang miên man suy nghĩ
在搬运时，正累的气喘吁吁	Tại vận chuyển lúc, chính mệt mỏi thở hồng hộc
正哼着小调搬运什么东西	Chính hừ phát điệu hát dân gian vận chuyển thứ gì
正专心搬运	Chính chuyên tâm vận chuyển
无心搬运这些东西，正一脸不开心	Vô tâm vận chuyển những vật này, chính một mặt không vui
搬运时连续手滑，差点弄伤自己，正感觉有点生气	Vận chuyển lúc liên tục tay trượt, kém chút làm bị thương mình, đang cảm giác có chút sinh khí
刚搬完一堆货物，准备休息一下	Vừa chuyển xong một đống hàng hóa, chuẩn bị nghỉ ngơi một chút
刚完成搬运工作，准备洗洗手收工	Vừa hoàn thành công nhân bốc vác làm, chuẩn bị rửa tay một cái kết thúc công việc
收获	Thu \nhoạch
在收获之时，正感觉有点无聊	Tại thu hoạch thời điểm, đang cảm giác có chút nhàm chán
在收获间余，刚小憩片刻	Tại thu hoạch ở giữa dư, vừa nghỉ ngơi một lát
在收获时，正累的气喘吁吁	Tại thu hoạch lúc, chính mệt mỏi thở hồng hộc
在收获时，正忍不住神游天外	Tại thu hoạch lúc, chính nhịn không được suy nghĩ viển vông
在收获时，正快乐的哼着小调	Tại thu hoạch lúc, chính vui vẻ hừ phát điệu hát dân gian
正专心收获	Chính chuyên tâm thu hoạch
收获时心不在焉，正想找个机会偷懒	Thu hoạch lúc không quan tâm, đang muốn tìm một cơ hội lười biếng
正在乐呵呵的收获中	Ngay tại vui vẻ thu hoạch bên trong
刚完成收获，准备洗洗手收工	Vừa hoàn thành thu hoạch, chuẩn bị rửa tay một cái kết thúc công việc
正在准备工具，去收获作物	Ngay tại chuẩn bị công cụ, đi thu hoạch thu hoạch
发呆	Ngẩn người
正在发呆	Đang ngẩn người
不知道在想什么，一脸呆滞	Không biết đang suy nghĩ gì, một mặt ngốc trệ
正在发愁今天做什么东西吃	Ngay tại phát sầu hôm nay làm cái gì đồ ăn
正在享受烹饪的快乐	Ngay tại hưởng thụ nấu nướng vui vẻ
正在一脸不情愿的做饭	Ngay tại một mặt không tình nguyện nấu cơm
刚做完饭，准备休息一下	Vừa làm xong cơm, chuẩn bị nghỉ ngơi một chút
正心无旁骛的做饭中	Chính tâm không không chuyên tâm nấu cơm bên trong
锻造	Rèn đúc
在锻造之时，正感觉有点无聊	Tại rèn đúc thời điểm, đang cảm giác có chút nhàm chán
在锻造间余，刚小憩片刻	Tại rèn đúc ở giữa dư, vừa nghỉ ngơi một lát
在锻造之时，刚刚险些砸了自己的脚	Tại rèn đúc thời điểm, vừa mới suýt nữa đập chân của mình
在锻造时，正累的气喘吁吁	Tại rèn đúc lúc, chính mệt mỏi thở hồng hộc
在锻造时，正在走神	Tại rèn đúc lúc, ngay tại thất thần
在锻造时，正快乐的哼着小调	Tại rèn đúc lúc, chính vui vẻ hừ phát điệu hát dân gian
锻造时，被叮叮当当的声音弄得有点烦	Rèn đúc lúc, bị đinh đinh đương đương thanh âm làm cho có chút phiền
正专心锻造	Chính chuyên tâm rèn đúc
无心锻造，正想找个机会划划水	Vô tâm rèn đúc, đang muốn tìm một cơ hội vạch vẩy nước
刚完成一件锻造作品，准备休息一下	Vừa hoàn thành một kiện rèn đúc tác phẩm, chuẩn bị nghỉ ngơi một chút
刚完成锻造，准备熄灭炉火收工	Vừa hoàn thành rèn đúc, chuẩn bị dập tắt lô hỏa kết thúc công việc
正在准备工具，去执行锻造	Ngay tại chuẩn bị công cụ, đi chấp hành rèn đúc
制作	Chế tác
在手工作业时，正感觉有点无聊	Đang thủ công làm việc lúc, đang cảm giác có chút nhàm chán
在手工作业间余，正小憩片刻	Đang thủ công làm việc ở giữa dư, chính nghỉ ngơi một lát
正心不在焉的手工作业中	Chính tâm không yên lòng thủ công làm việc bên trong
在手工时，正快乐的哼着小调	Đang thủ công lúc, chính vui vẻ hừ phát điệu hát dân gian
正心无旁骛的手工作业中	Chính tâm không không chuyên tâm thủ công làm việc bên trong
正在乐呵呵的手工中	Ngay tại vui vẻ thủ công bên trong
刚完成手工作业，准备收拾手工桌	Vừa hoàn thành thủ công làm việc, chuẩn bị thu thập thủ công bàn
正在准备工具，去执行手工作业	Ngay tại chuẩn bị công cụ, đi chấp hành thủ công làm việc
缝制	May
在缝纫作业时，正感觉有点无聊	Tại may làm việc lúc, đang cảm giác có chút nhàm chán
在缝纫作业间余，正小憩片刻	Tại may làm việc ở giữa dư, chính nghỉ ngơi một lát
正心不在焉的缝纫作业中	Chính tâm không yên lòng may làm việc bên trong
在缝纫时，正快乐的哼着小调	Tại may lúc, chính vui vẻ hừ phát điệu hát dân gian
正心无旁骛的缝纫作业中	Chính tâm không không chuyên tâm may làm việc bên trong
正在乐呵呵的缝纫中	Ngay tại vui vẻ may bên trong
刚完成缝纫作业，准备收拾缝纫桌	Vừa hoàn thành may làm việc, chuẩn bị thu thập may bàn
正在准备工具，去执行缝纫作业	Ngay tại chuẩn bị công cụ, đi chấp hành may làm việc
在缝纫时，差点被扎伤自己，正一脸后怕	Tại may lúc, kém chút bị đâm tổn thương mình, chính một mặt nghĩ mà sợ
打磨	Rèn luyện
在切石作业时，正感觉有点无聊	Tại cắt đá làm việc lúc, đang cảm giác có chút nhàm chán
在切石作业间余，正小憩片刻	Tại cắt đá làm việc ở giữa dư, chính nghỉ ngơi một lát
正心不在焉的切石作业中	Chính tâm không yên lòng cắt đá làm việc bên trong
在切石时，正快乐的哼着小调	Tại cắt đá lúc, chính vui vẻ hừ phát điệu hát dân gian
正心无旁骛的切石作业中	Chính tâm không không chuyên tâm cắt đá làm việc bên trong
正在乐呵呵的切石中	Ngay tại vui vẻ cắt đá bên trong
刚完成切石作业，正拍落衣服上的石屑灰尘	Vừa hoàn thành cắt đá làm việc, chính đập xuống trên quần áo mảnh đá tro bụi
正在准备工具，去执行切石作业	Ngay tại chuẩn bị công cụ, đi chấp hành cắt đá làm việc
制药	Chế dược
在制药作业时，正感觉有点无聊	Tại chế dược làm việc lúc, đang cảm giác có chút nhàm chán
在制药作业间余，正小憩片刻	Tại chế dược làm việc ở giữa dư, chính nghỉ ngơi một lát
正心不在焉的制药作业中	Chính tâm không yên lòng chế dược làm việc bên trong
在制药时，正快乐的哼着小调	Tại chế dược lúc, chính vui vẻ hừ phát điệu hát dân gian
正心无旁骛的制药作业中	Chính tâm không không chuyên tâm chế dược làm việc bên trong
正在乐呵呵的制药中	Ngay tại vui vẻ chế dược bên trong
刚完成制药作业，准备收拾制药桌	Vừa hoàn thành chế dược làm việc, chuẩn bị thu thập chế dược bàn
配药时好像放错了一味药，正一脸思索	Phối dược lúc giống như làm sai một vị thuốc, chính một mặt suy tư
砍柴	Đốn củi
在砍柴时，正感觉有点无聊	Tại lúc đốn củi, đang cảm giác có chút nhàm chán
在砍柴间余，正小憩片刻	Tại đốn củi ở giữa dư, chính nghỉ ngơi một lát
正心不在焉的砍柴中	Chính tâm không yên lòng đốn củi bên trong
在砍柴时，正快乐的哼着小调	Tại lúc đốn củi, chính vui vẻ hừ phát điệu hát dân gian
正心无旁骛的砍柴中	Chính tâm không không chuyên tâm đốn củi bên trong
正在乐呵呵的砍柴中	Ngay tại vui vẻ đốn củi bên trong
刚砍完柴，正在擦汗	Vừa chặt xong củi, ngay tại lau mồ hôi
焚香祈愿，准备开始炼制丹药	Đốt hương cầu nguyện, chuẩn bị bắt đầu luyện chế đan dược
