ID	Name	Desc	sParam1	sParam2
10067	Nam Hoang dị biến	Gần đây, Bắc Cương dãy núi bên trong phát sinh một trận thần bí thiên tai. Nghe nói lúc ấy núi dao động mấy chục giây, âm thanh chấn ngàn dặm. Chờ phụ cận người tu hành lúc chạy đến, chỉ phát hiện trăm dặm sông núi đều hóa thành trạch quốc, hiện trường chỉ cảm thấy nhận khổng lồ yêu khí tràn ngập.\n Xem ra thụ ngàn năm linh triều ảnh hưởng, một chút ngày thường ẩn tàng tại thâm sơn đại trạch khó gặp thượng cổ yêu thú tựa hồ cũng bắt đầu trở nên sinh động.		
10068	Dưới mặt đất dị thanh	Ngàn năm linh triều đã sắp trôi qua, ngắn ngủi hơn tháng thời gian, cổ đại người tu hành xuất thế, thượng cổ yêu thú một lần nữa sinh động...... Tu hành giới cách cục đã phát sinh biến đổi lớn. Bất quá theo thời gian trôi qua, tu hành giới cũng dần dần một lần nữa đạt thành mới ổn định, hết thảy tựa hồ cũng một lần nữa đi hướng quỹ đạo.\n Bất quá gần đây, môn phái dưới mặt đất tựa hồ chấn động tấp nập, không biết là nguyên nhân gì......		
10069	Cổ tu xâm lấn	Một đường truy tung phía dưới, tên này cổ đại người tu hành thành công tìm tới ngươi sơn môn.		
10070	Hung thú thức tỉnh	Chiếm cứ ở chỗ này yêu thú thức tỉnh.		
10071	Thiên uy đồ long	Thiên kiếp chi lực đem chưa hoàn toàn nở giao long chi sinh cơ đều chôn vùi......		
10072	Dị giới rung chuyển	Giang hồ truyền ngôn, gần đây dị giới khe hở đột nhiên mở ra, đếm tới quang hoa từ trong cái khe bắn ra, rơi vào các nơi trên thế giới. Từ nơi sâu xa ngươi sinh ra cảm ứng, tựa hồ những vật phẩm này cùng mình rất có duyên phận, xem ra có cần phải tìm kiếm một phen.		
10073	Dị giới rung chuyển	Giang hồ truyền ngôn, gần đây dị giới khe hở đột nhiên mở ra, đếm tới quang hoa từ trong cái khe bắn ra, rơi vào các nơi trên thế giới. Từ nơi sâu xa ngươi sinh ra cảm ứng, tựa hồ những vật phẩm này cùng mình rất có duyên phận, xem ra có cần phải tìm kiếm một phen.		
10074	Dị giới rung chuyển	Giang hồ truyền ngôn, gần đây dị giới khe hở đột nhiên mở ra, đếm tới quang hoa từ trong cái khe bắn ra, rơi vào các nơi trên thế giới. Từ nơi sâu xa ngươi sinh ra cảm ứng, tựa hồ những vật phẩm này cùng mình rất có duyên phận, xem ra có cần phải tìm kiếm một phen.		
10075	Dị giới rung chuyển	Giang hồ truyền ngôn, gần đây dị giới khe hở đột nhiên mở ra, đếm tới quang hoa từ trong cái khe bắn ra, rơi vào các nơi trên thế giới. Từ nơi sâu xa ngươi sinh ra cảm ứng, tựa hồ những vật phẩm này cùng mình rất có duyên phận, xem ra có cần phải tìm kiếm một phen.		
10076	Ly biệt	Vì sao muốn đem ta đưa tặng cho [TXT]?		
10077	Phi thăng	[NAME] Thần tính viên mãn, mất đi hết thảy phàm nhân tình cảm, chặt đứt hết thảy thế gian nhân quả duyên phận, triệt để thần hóa, trở thành nơi đây thế giới một phương thần linh.	SeeGod	
10078	Hành thương nghiệp đoàn khiển trách	Bởi vì ngươi dã man hành vi, hành thương nghiệp đoàn quyết định vĩnh cửu sẽ không tiếp tục cùng ngươi giao dịch		
10079	Báo thù	[TXT] Thân hữu sư trưởng khí thế hung hăng đi vào môn phái của ngươi, đến đây đòi một lời giải thích.	Rich	
10080	Báo thù	[TXT] Bởi vì ngươi mà phản bội sư môn, nguyên lai thân hữu sư trưởng mười phần tức giận, bọn hắn sắp đến đây đòi một lời giải thích.		
10081	Ân tình	[TXT] Đệ tử bởi vì ngươi mà mưu phản môn phái, nhưng bởi vì song phương ân tình vãng lai, bọn hắn môn phái cao tầng tạo áp lực, ngăn trở tình thế chuyển biến xấu.\n( Khấu trừ ân tình )		
10082	Ân tình	[TXT] Đệ tử bởi vì ngươi mà mưu phản môn phái, nhưng bởi vì song phương ân tình vãng lai, bọn hắn hết sức ngăn trở tình thế chuyển biến xấu. Bất quá bọn hắn thiếu ngươi ân tình tựa hồ không đủ để hoàn toàn đè xuống việc này.\n( Khấu trừ ân tình )		
10083	Hành thương nghiệp đoàn bái phỏng	Đến tự hành thương thương hội [NAME] Đến đây bái phỏng, hắn sẽ tại nơi đây dừng lại một ngày.		
10084	Dị giới người về	Trước đó vài ngày, hành thương kiểu gì cũng sẽ một đợt thương nhân tại dị giới khe hở thăm dò lúc mất tích. Mọi người ở đây coi là những người này đã gặp bất trắc lúc, dị giới khe hở lại lần nữa mở ra, những này hành thương vậy mà toàn bộ an toàn quay trở về, thậm chí còn từ dị giới mang đến rất nhiều kỳ quái hàng hóa.\n Nhưng mà, đại lượng đến từ dị giới vật phẩm mang theo dị giới thiên đạo chi khí, thụ dị giới thiên đạo ảnh hưởng, bản phương thế giới thiên đạo cũng phát sinh một chút lâm thời tính cải biến. Thậm chí đạo âm dương hóa thân Chúc Long đều trở nên có chút kỳ quái......		
10085	Khải trí gấu		Bear,10,10,10,10,10,3,Target,,3	Tại [TXT], một con gấu cơ duyên xảo hợp, tự hành nhận biết [FRAG], sinh ra linh trí.
10086	Khải trí con thỏ		Rabbit,10,10,10,10,10,3,Target,,3	Tại [TXT], một con con thỏ cơ duyên xảo hợp, tự hành nhận biết [FRAG], sinh ra linh trí.
10087	Khải trí gà		Chicken,10,10,10,10,10,3,Target,,3	Tại [TXT], một con gà cơ duyên xảo hợp, tự hành nhận biết [FRAG], sinh ra linh trí.
10088	Khải trí sói		Wolf,10,10,10,10,10,3,Target,,3	Tại [TXT], một con sói cơ duyên xảo hợp, tự hành nhận biết [FRAG], sinh ra linh trí.
10089	Khải trí rắn		Snake,10,10,10,10,10,3,Target,,3	Tại [TXT], một con rắn cơ duyên xảo hợp, tự hành nhận biết [FRAG], sinh ra linh trí.
10090	Khải trí lợn rừng		Boar,10,10,10,10,10,3,Target,,3	Tại [TXT], một con lợn rừng cơ duyên xảo hợp, tự hành nhận biết [FRAG], sinh ra linh trí.
10091	Khải trí con ếch		Frog,10,10,10,10,10,3,Target,,3	Tại [TXT], một con con ếch cơ duyên xảo hợp, tự hành nhận biết [FRAG], sinh ra linh trí.
10092	Khải trí rùa đen		Turtle,10,10,10,10,10,3,Target,,3	Tại [TXT], một con rùa đen cơ duyên xảo hợp, tự hành nhận biết [FRAG], sinh ra linh trí.
10093	Khải trí mèo		Cat,10,10,10,10,10,3,Target,,3	Tại [TXT], một con mèo cơ duyên xảo hợp, tự hành nhận biết [FRAG], sinh ra linh trí.
10094	Khải trí hổ		Tiger,10,10,10,10,10,3,Target,,3	Tại [TXT], một con hổ cơ duyên xảo hợp, tự hành nhận biết [FRAG], sinh ra linh trí.
10095	Khải trí trâu		Cattle,10,10,10,10,10,3,Target,,3	Tại [TXT], một con máy móc trâu bò duyên trùng hợp, tự hành nhận biết [FRAG], sinh ra linh trí.
10096	Đại năng điểm hóa	[NAME] Cơ duyên trời tạo, tại [TIME], thụ [TNAME] Điểm hóa mà thông linh, trở thành tinh quái.		
10097	Thiên địa thông linh	[NAME] Cơ duyên trời tạo, tại [TIME], tại [WEATHER] Bên trong ngẫu lấy được thiên địa linh cơ, vậy mà thức tỉnh bản thân ý thức, trở thành tinh quái.		
10098	Thức tỉnh linh cơ	[NAME] Cơ duyên trời tạo, tại [TNAME] Bên người thâm niên lâu ngày, lắng nghe huyền diệu, linh tính chậm rãi tích lũy, vậy mà tại [TIME] Ngẫu nhiên thức tỉnh bản thân ý thức, trở thành tinh quái.		
10099	Khải trí gấu		Bear,10,10,10,10,10,3,Emotion,,3	Tại [TXT], một con gấu không biết sao, ngoài ý muốn cảm nhận được nhiều lần [FRAG], sinh ra linh trí.
10100	Khải trí con thỏ		Rabbit,10,10,10,10,10,3,Emotion,,3	Tại [TXT], một con con thỏ không biết sao, ngoài ý muốn cảm nhận được nhiều lần [FRAG], sinh ra linh trí.
10101	Khải trí gà		Chicken,10,10,10,10,10,3,Emotion,,3	Tại [TXT], một con gà không biết sao, ngoài ý muốn cảm nhận được nhiều lần [FRAG], sinh ra linh trí.
10102	Khải trí sói		Wolf,10,10,10,10,10,3,Emotion,,3	Tại [TXT], một con sói không biết sao, ngoài ý muốn cảm nhận được nhiều lần [FRAG], sinh ra linh trí.
10103	Khải trí rắn		Snake,10,10,10,10,10,3,Emotion,,3	Tại [TXT], một con rắn cơ duyên xảo hợp, tự hành nhận biết [FRAG], sinh ra linh trí.
10104	Khải trí lợn rừng		Boar,10,10,10,10,10,3,Emotion,,3	Tại [TXT], một con lợn rừng không biết sao, ngoài ý muốn cảm nhận được nhiều lần [FRAG], sinh ra linh trí.
10105	Khải trí con ếch		Frog,10,10,10,10,10,3,Emotion,,3	Tại [TXT], một con con ếch không biết sao, ngoài ý muốn cảm nhận được nhiều lần [FRAG], sinh ra linh trí.
10106	Khải trí rùa đen		Turtle,10,10,10,10,10,3,Emotion,,3	Tại [TXT], một con rùa đen không biết sao, ngoài ý muốn cảm nhận được nhiều lần [FRAG], sinh ra linh trí.
10107	Khải trí mèo		Cat,10,10,10,10,10,3,Emotion,,3	Tại [TXT], một con mèo không biết sao, ngoài ý muốn cảm nhận được nhiều lần [FRAG], sinh ra linh trí.
10108	Khải trí hổ		Tiger,10,10,10,10,10,3,Emotion,,3	Tại [TXT], một con hổ không biết sao, ngoài ý muốn cảm nhận được nhiều lần [FRAG], sinh ra linh trí.
10109	Khải trí trâu		Cattle,10,10,10,10,10,3,Emotion,,3	Tại [TXT], một con trâu không biết sao, ngoài ý muốn cảm nhận được nhiều lần [FRAG], sinh ra linh trí.
10110	Khải trí gấu		Bear,10,10,10,10,10,3,Scene,,3	Tại [TXT], một con gấu nhiều lần [FRAG] Về sau, ý tưởng đột phát, sinh ra linh trí.
10111	Khải trí con thỏ		Rabbit,10,10,10,10,10,3,Scene,,3	Tại [TXT], một con con thỏ nhiều lần [FRAG] Về sau, ý tưởng đột phát, sinh ra linh trí.
10112	Khải trí gà		Chicken,10,10,10,10,10,3,Scene,,3	Tại [TXT], một con gà nhiều lần [FRAG] Về sau, ý tưởng đột phát, sinh ra linh trí.
10113	Khải trí sói		Wolf,10,10,10,10,10,3,Scene,,3	Tại [TXT], một con sói nhiều lần [FRAG] Về sau, ý tưởng đột phát, sinh ra linh trí.
10114	Khải trí rắn		Snake,10,10,10,10,10,3,Scene,,3	Tại [TXT], một con rắn nhiều lần [FRAG] Về sau, ý tưởng đột phát, sinh ra linh trí.
10115	Khải trí lợn rừng		Boar,10,10,10,10,10,3,Scene,,3	Tại [TXT], một con lợn rừng nhiều lần [FRAG] Về sau, ý tưởng đột phát, sinh ra linh trí.
10116	Khải trí con ếch		Frog,10,10,10,10,10,3,Scene,,3	Tại [TXT], một con con ếch nhiều lần [FRAG] Về sau, ý tưởng đột phát, sinh ra linh trí.
10117	Khải trí rùa đen		Turtle,10,10,10,10,10,3,Scene,,3	Tại [TXT], một con rùa đen nhiều lần [FRAG] Về sau, ý tưởng đột phát, sinh ra linh trí.
10118	Khải trí mèo		Cat,10,10,10,10,10,3,Scene,,3	Tại [TXT], một con mèo nhiều lần [FRAG] Về sau, ý tưởng đột phát, sinh ra linh trí.
10119	Khải trí hổ		Tiger,10,10,10,10,10,3,Scene,,3	Tại [TXT], một con hổ nhiều lần [FRAG] Về sau, ý tưởng đột phát, sinh ra linh trí.
10120	Khải trí trâu		Cattle,10,10,10,10,10,3,Scene,,3	Tại [TXT], một con trâu nhiều lần [FRAG] Về sau, ý tưởng đột phát, sinh ra linh trí.
10121	Lui bước địch nhân	Có một đợt tràn ngập địch ý tồn tại ý đồ tiến công các ngươi, nhưng nghĩ tới ngươi môn phái tại tu hành giới thanh danh, cuối cùng vẫn lựa chọn lui bước.		
10122	Phi thăng	[NAME] Lấy nhục thân thành thánh, phá toái hư không, siêu thoát giới này, phi thăng thành tiên. Chỉ để lại truyền thuyết cung cấp hậu nhân chiêm ngưỡng.\n Có thơ làm chứng: \n[color=#D06508] Hỗn độn sơ phân Bàn Cổ trước, Thái Cực Lưỡng Nghi Tứ Tượng treo.\n Nữ Oa đoàn thổ vạn linh ra, Phục Hi họa quẻ âm dương trước.\n Trăm năm tu hành đao binh họa, định bên trong chưa phát giác đã ngàn năm.\n Cướp đến tan hết hoàn toàn nói, phàm trần lần này đi tận như khói.[/color]	SeeGod	
10123	Dị giới hành thương	Đến tự hành thương thương hội [NAME] Bị dị giới khe hở truyền tống đến tận đây.		
10124	Dị giới kẽ nứt	Một đám dã thú phát cuồng bị dị giới khe hở truyền tống đến tận đây.		
10125	Dị giới kẽ nứt	Một chút yêu thú bị dị giới khe hở truyền tống đến tận đây.		
10126	Dị giới kẽ nứt	Một đám địch nhân bị dị giới khe hở truyền tống đến tận đây.		
10127	Khí vận ngưng kết	Tại lấy vô song thực lực chinh phạt các phái sau, toàn bộ tu hành giới khí vận ngưng tụ ngươi môn phái. Thụ ảnh hưởng này, Tiểu Càn Khôn Giới lại ẩn ẩn phát ra quang mang, sinh ra biến hóa kỳ dị.		
10128	Khí vận ngưng kết	Ngắn ngủi mấy năm ở giữa, ngươi môn phái bên trong phi thăng nhân số lại hợp Đại Diễn số lượng, khổng lồ thiên đạo khí vận bởi vậy ngưng tụ ngươi môn phái. Thụ ảnh hưởng này, Tiểu Càn Khôn Giới lại ẩn ẩn phát ra quang mang, sinh ra biến hóa kỳ dị.		
10129	Khí vận ngưng kết	Kinh lịch gian khổ tu hành, ngươi trong phái lại có Kim Đan tu giả độ cửu trọng thiên kiếp, vô thượng tu vi dẫn thiên địa khí vận hội tụ. Thụ ảnh hưởng này, Tiểu Càn Khôn Giới lại ẩn ẩn phát ra quang mang, sinh ra biến hóa kỳ dị.		
10130	Khí vận ngưng kết	Tuế nguyệt như thoi đưa, ngươi lập phái nơi này đảo mắt đã hơn mười năm, năm tháng dài đằng đẵng để ngươi môn phái khí vận dần dần cùng nơi đây thiên địa hợp nhất. Thụ ảnh hưởng này, Tiểu Càn Khôn Giới lại ẩn ẩn phát ra quang mang, sinh ra biến hóa kỳ dị.		
10131	Khí vận ngưng kết	Vì giải Thái Nhất Môn diệt môn chi mê, ngươi trải qua gian khổ dò xét, không nghĩ tới vậy mà dần dần tiếp xúc đến thế giới này cổ xưa nhất bí ẩn. Đang dò xét quá trình bên trong, đại lượng thiên đạo khí vận hội tụ. Thụ ảnh hưởng này, Tiểu Càn Khôn Giới lại ẩn ẩn phát ra quang mang, sinh ra biến hóa kỳ dị.		
10132	Khí vận ngưng kết	Gần đây, thiên đạo phát sinh kịch biến, thụ ảnh hưởng này, Tiểu Càn Khôn Giới lại ẩn ẩn phát ra quang mang, sinh ra biến hóa kỳ dị.		
10133	Thiên thời sắp tới	Tiểu Càn Khôn Giới đột nhiên phát ra dị động, ngươi nhớ tới cùng giao tích không ước định, xem ra là thiên thời sắp tới......		
10123	Dị giới hành thương	Đến tự hành thương thương hội [NAME] Bị dị giới khe hở truyền tống đến tận đây.		
10124	Dị giới kẽ nứt	Một đám dã thú phát cuồng bị dị giới khe hở truyền tống đến tận đây.		
10125	Dị giới kẽ nứt	Một chút yêu thú bị dị giới khe hở truyền tống đến tận đây.		
10126	Dị giới kẽ nứt	Một đám địch nhân bị dị giới khe hở truyền tống đến tận đây.		
30001	Yêu thú xâm lấn	Một chút yêu thú xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.		TongYong_DropList
30002	Yêu thú xâm lấn	Một chút yêu thú xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.		TongYong_DropList
30003	Yêu thú xâm lấn	Một chút yêu thú xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.		TongYong_DropList
30004	Cường lực tiến công	Một chút thần bí sát thủ thụ mệnh đến tiến đánh môn phái của ngươi.	Richest	Human
30005	Cường lực tiến công	Một chút thần bí sát thủ thụ mệnh đến tiến đánh môn phái của ngươi.	Richest	Human
30006	Cường lực tiến công	Một chút thần bí sát thủ thụ mệnh đến tiến đánh môn phái của ngươi.	Richest	Human
30008	Vĩnh Dạ	Âm dương kỳ thạch có chút thất thường, dẫn đến âm tính mất cân bằng, mặt trời từ đầu đến cuối không có dâng lên.	YinChaos	
30009	Sóng nhiệt	Địa phế miệng không quá ổn định, dẫn đến nhiệt độ dị thường lên cao.	Hotpot_Heat	
30010	Hàn khí	Huyền Băng Đan lô không quá ổn định, dẫn đến nhiệt độ dị thường giảm xuống.	ColdHole_Cold	
30012	Mưa to	Một trận mãnh liệt bão tố đánh tới, giữa thiên địa Thủy thuộc tính dị thường sinh động.	Rainstorm	
30013	Gió phơn	Một trận nóng bức gió phơn phá đến, giữa thiên địa Hỏa thuộc tính dị thường sinh động.	Fohn	
30014	Bão cát	Một trận bão cát cuốn tới, giữa thiên địa Thổ thuộc tính dị thường sinh động.	DustStorm	
30015	Linh khí khô triều	Không biết nguyên nhân gì, linh khí trong thiên địa tiến vào ngắn ngủi cơn sóng nhỏ.	LingRarefiedWave_Longer	
30018	Vĩnh Dạ	Một cỗ yêu vân che khuất bầu trời, đem tiếp tục một đoạn thời gian không gặp ánh nắng.	PolarNight	
30019	Ôn khí	Một trận chướng khí bao phủ toàn bộ địa khu, giữa thiên địa Mộc thuộc tính dị thường sinh động.	Miasma	
30020	Lôi bạo	Một trận lôi bạo giáng lâm, giữa thiên địa Kim thuộc tính dị thường sinh động.	LightningStorm	
30021	Cường lực tiến công	Một chút thần bí sát thủ thụ mệnh đến tiến đánh môn phái của ngươi.	Normal	Human
30022	Lôi bạo	Thần bí hang động cùng thiên địa cảm ứng, sinh ra một trận lôi bạo.	Lightning_DragonHole	
30028	Nạn dân đi ngang qua	Một trốn tránh chiến loạn nạn dân đi ngang qua nơi đây, [IT] Hi vọng gia nhập các ngươi.	Human	
30043	Lạc đường người đi đường	Một người qua đường tại phụ cận lạc đường, [IT] Hi vọng đạt được trợ giúp của chúng ta.	Lạc đường người đi đường	
30044	Hiếu kì người đi đường	Một đầy hiếu kỳ người qua đường ngẫu nhiên đến nơi này, [IT] Đặc biệt muốn biết chúng ta đến cùng đang làm gì.	Hiếu kì người đi đường	
30045	Thụ thương người đi đường	Một người qua đường thụ thương, [IT] Hi vọng lâm thời lưu lại nghỉ ngơi cũng đạt được trợ giúp của chúng ta.	Thụ thương người đi đường	RandomDamage
30083	Linh khí bộc phát	Không biết nguyên nhân gì, linh khí trong thiên địa đột nhiên bạo phát. Bộ phận thực vật thụ này xâm nhiễm, hóa thành linh mộc.	LingUpWave_Shorter	
30111	Bão cát	Trên mặt đất mẫu bia đá ảnh hưởng dưới, một trận bão cát cuốn tới.	DustStorm_Dimu	
30112	Yêu thú xâm lấn	Địa Mẫu bia đá hấp thu thổ địa chất dinh dưỡng chọc giận một chút yêu thú, bọn chúng tràn ngập địch ý!		
30113	Yêu thú xâm lấn	Một chút yêu thú xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.		
30114	Yêu thú xâm lấn	Một chút yêu thú xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.		
30115	Yêu thú xâm lấn	Một chút yêu thú xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.		
30116	Yêu thú xâm lấn	Một chút yêu thú xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.		
30117	Ứng sân thượng	Ứng sân thượng ngưng Tụ Linh Thạch hoàn thành!		
