ID	Content
92	[NAME] Tại [PLACE2] Du lịch lúc, gặp được cừu gia tựa hồ ra làm việc.[NAME] Không nói hai lời, tới đấu pháp mấy ngày, tan rã trong không vui.
93	[NAME] Tại [CITY2] Du lịch lúc, muốn dùng hóa thể gửi hồn chi thuật thu hoạch một đợt tu vi. Nhưng không nghĩ tới gửi hồn đối tượng trong đó lại có một đại tu hậu nhân.[NAME] Một cước đá trúng thiết bản, bị đuổi giết ngàn dặm, suýt nữa mất mạng.
94	[NAME] Tại cùng người đấu pháp lúc thân chịu trọng thương, mệnh rủ xuống một tuyến. Rơi vào đường cùng, đành phải dùng đoạt xá chi thuật chiếm một phàm nhân thân thể, tu vi đại giảm.
95	[NAME] Tại du lịch thiên hạ lúc, đi ngang qua một tòa bị nạn hạn hán tứ ngược thôn xóm.[NAME] Bỗng nhiên động thiện tâm, lại không tiếc hao phí thọ nguyên vì thế cầu mưa mấy ngày. Tại phương viên trăm dặm truyền ra hiệp danh.
96	[NAME] Tại du lịch thiên hạ lúc, đi ngang qua một tòa bị yêu nghiệt tứ ngược thôn xóm.[NAME] Vốn không nguyện để ý tới, làm sao yêu nghiệt này tìm tới cửa, đành phải xuất thủ chém giết. Vậy mà tại phương viên trăm dặm truyền ra hiệp danh.
97	[NAME] Tại du lịch thiên hạ lúc, đi ngang qua một tòa thôn xóm thảm sự liên tục. Xem xét phía dưới, mới biết nơi đây phong thuỷ kỳ chênh lệch, lại là Cửu U tuyệt địa.[NAME] Không đành lòng nơi đây cư dân thụ này tai kiếp, thế là ra tay giúp cải thiện phong thuỷ.
98	[NAME] Tại du lịch thiên hạ lúc, đi ngang qua một tòa linh khí nồng đậm bảo địa, [NAME] Phúc chí tâm linh, dứt khoát ở nơi này bế quan tu hành mười mấy năm, tu vi tiến nhanh.
99	[NAME] Bị trục xuất môn phái sau mặc dù đối với mình bỏ lỡ tiên duyên đau nhức tiếc vạn phần, nhưng cũng biết việc này không thể cưỡng cầu. Đành phải chỉnh lý tâm tình, tốn hao mấy tháng chạy về nhà hương.
100	[NAME] Số tuổi thọ đã đến, thọ hết chết già.
101	[NAME] Vô ý lây nhiễm bệnh hiểm nghèo, thế gian thủ đoạn dược thạch vô hiệu, triền miên mấy tháng sau đột ngột mất.
102	[NAME] Vận số không tốt, sở tại địa khu lại bị một tà tu nhìn trúng, toàn thôn trên dưới trong một đêm bị luyện hồn mà chết.
103	Một yêu thú [MONSTER3] Xâm lấn [NAME] Sở tại địa khu, [NAME] Đem người xua đuổi yêu thú, nhưng bất hạnh trúng chiêu, chết thảm tại chỗ.
104	[NAME] Lại phát hiện nơi xa quang hoa lấp lóe, sớm tại tiên môn có chỗ kiến thức hắn biết là tiên nhân ngự kiếm, vội vàng tiến đến cầu tiên duyên. Lại không nghĩ rằng kia là hai cừu nhân sinh tử đấu pháp, [NAME] Một kẻ phàm nhân, tại chỗ chết tại đấu pháp dư ba hạ, quả thật khiến người buồn vô cớ.
105	[NAME] Chỗ địa khu bị cho rằng là trước đó vài ngày mưu phản triều đình phản tặc cố hương, bị liên luỵ mà chết.
106	[NAME] Chỗ địa khu bị một đám chạy trốn phản tặc đi ngang qua cướp sạch, toàn thôn trên dưới chó gà không tha, quả thật thảm sự.
107	[NAME] Từ đầu đến cuối không cách nào buông xuống mình bỏ lỡ tiên duyên, buồn bực cả ngày, rốt cục sầu lo mà chết.
108	[NAME] Ra ngoài làm việc lúc, bị một mực phát cuồng lợn rừng đụng gãy eo, nửa năm sau ngay tại ốm đau quấn thân bên trong chết đi.
109	[NAME] Chỗ địa khu tao ngộ một trận hồng tai, toàn thôn nhân không một người còn sống.
110	[NAME] Chỗ địa khu nghênh đón một trận lôi bạo, [NAME] Người trong nhà ngồi, bị lôi đình chính giữa, tại chỗ tử vong.
111	[NAME] Dù sao tại Tiên gia môn phái đợi qua, ăn nói bất phàm, kiến thức càng phi phàm người có thể so sánh. Vậy mà cùng một Hoàng gia bên ngoài hệ kết làm phu thê, quả thật chuyện may mắn.
112	[NAME] Cùng một cái người tầm thường kết làm phu thê. Nhưng mà dù sao trải qua tiên sơn, tới cửa cầu thân người không biết nhiều ít, làm ra cái này một lựa chọn, để chung quanh rất nhiều người sợ ngây người mắt.
113	[NAME] Ẩn giấu đi mình hết thảy, bình thường cùng một cái môn đăng hộ đối người kết làm phu thê, cũng là bình an hạnh phúc.
114	[NAME] Tại thế giới người phàm nhiều năm sau, từ đầu đến cuối không cách nào quên trên tiên sơn tên kia tiên nhân thân ảnh, quyết định cả đời không cưới.
115	[NAME] Bởi vì tại trên tiên sơn kinh lịch có được kiến thức uyên bác, trở thành nơi đó nổi danh nhất nhìn tiến sĩ, có thật nhiều người mộ danh đến thỉnh giáo bày ra.
116	[NAME] Bởi vì tại trên tiên sơn kinh lịch có được siêu phàm thân thủ, thành phụ cận thực lực mạnh nhất người, có thật nhiều người mộ danh bái sư cầu học.
117	[NAME] Bởi vì tại trên tiên sơn kinh lịch có được cực cao danh vọng, tại sinh hoạt chỗ nhất hô bách ứng, qua coi như không tệ.
118	[NAME] Bởi vì tại trên tiên sơn kinh lịch có được hơn người ngộ tính, thôi diễn toán thuật hiếm người địch, cả ngày có người đi cầu lấy đề nghị.
119	[NAME] Chỗ địa khu bị yêu thú [MONSTER3] Xâm lấn, nhờ có tại trên tiên sơn có chỗ nghe nói yêu thú nhược điểm, dẫn đầu đám người thành công đánh lui yêu thú.
120	[NAME] Chỗ địa khu tao ngộ đặc biệt lớn hồng thủy, [NAME] Không biết như thế nào vậy mà phúc chí tâm linh tại nửa đêm bừng tỉnh, dẫn đầu đám người chạy trốn tới trên núi, trốn qua một kiếp.
121	[NAME] Chỗ địa khu tao ngộ ôn dịch, nhờ có [NAME] Kiến thức rộng rãi, kịp thời thuyết phục mọi người cách ly xử lý, mặc dù hơi có vẻ tàn khốc, nhưng tốt xấu ngăn lại ôn dịch khuếch tán.
122	[NAME] Chỗ địa khu tao ngộ Vĩnh Dạ, nhờ có [NAME] Tại tiên sơn kinh nghiệm sớm làm xong bố trí, đám người thuận lợi vượt qua tai nạn.
123	[NAME] Rốt cục tích lũy đủ tiền hai, tại [CITY3] Mua sắm sản nghiệp của mình.
124	[NAME] Vô ý ở giữa cứu được một cái quý nhân tính mệnh, lại bị tặng cho một bộ ở vào [CITY3] Sản nghiệp.
125	[NAME] Bởi vì tại trên tiên sơn kinh lịch, bị hoàng thất nhìn trúng. Vì lôi kéo [NAME], cố ý tại [CITY3] Tặng cho một bộ xa hoa sản nghiệp, có thể nói một bước lên trời.
126	[NAME] Tại [CITY3] Làm việc lúc, cơ duyên xảo hợp cứu trợ một cái đột phát bệnh cấp tính lão nhân, không nghĩ đến người này đúng là [CITY3] Số một số hai phú hào. Vì đáp tạ [NAME], tên này phú hào trực tiếp tặng cho hắn một bộ xa hoa sản nghiệp.
127	[NAME] Tại [CITY3] Làm việc lúc, vô ý đắc tội nơi đó ác bá, bị đánh gãy một cái chân.
128	[NAME] Vô ý lây nhiễm bệnh hiểm nghèo, bệnh nặng một trận, hơn nửa năm mới khôi phục, nguyên khí đại thương.
129	[NAME] Tại [CITY3] Làm việc lúc, ngẫu nhiên trợ giúp một nghèo túng ăn mày. Không nghĩ đến người này đúng là tiên nhân hóa thân. Vì đáp tạ [NAME] Thiện hạnh, tiên nhân ban cho thứ mười năm tuổi thọ, sau đó rời đi.
130	Một yêu thú [MONSTER3] Xâm lấn [NAME] Sở tại địa khu, [NAME] Đem người xua đuổi yêu thú, nhưng bất hạnh trúng chiêu, thân chịu trọng thương.
131	[NAME] Vậy mà đụng đại vận, vậy mà tại ven đường nhặt được một hộp thoi vàng.
132	[NAME] Chỗ địa khu bị giặc cỏ cướp sạch, [NAME] Khổ chiến phía dưới mặc dù trốn tính mệnh, nhưng vẫn là đoạn mất một đầu cánh tay.
133	[NAME] Chỗ địa khu bị một đám chạy trốn phản tặc đi ngang qua cướp sạch, [NAME] Bị một đao xuyên ngực, nhưng vậy mà như kỳ tích tránh đi tất cả yếu hại, may mắn sống tiếp được.
134	[NAME] Vận may vào đầu, tại [CITY3] Sòng bạc đại sát tứ phương, thắng được đại lượng tiền tài. Không nghĩ tới họa phúc tương y, bị người đỏ mắt, không riêng bị cướp tài sản, còn gặp một trận đánh đập.
135	[NAME] Hi vọng thi đậu hoạn lộ, nhưng tiếc nuối thi rớt.
136	[NAME] Tại thế gian kinh lịch rất nhiều, đột nhiên minh bạch nhân gian đều khổ đạo lý. Đáng tiếc tiên duyên đã mất, tiếc nuối không thôi.
137	[NAME] Ra ngoài làm việc lúc, gặp một quyền quý diễu võ giương oai, tùy ý quất bình dân, [NAME] Tức giận không thôi, bên đường đánh đập tên này quyền quý. Nhưng lại bởi vậy bị truy nã, đào vong hồi lâu mới hất ra truy binh.
138	[NAME] Bởi vì trên tiên sơn kinh lịch bị người đố kỵ, tại một lần ra ngoài lúc lại bị người thiết kế tao ngộ cường nhân cản đường. Nhờ có [NAME] Mạng lớn, mới trốn được tính mệnh.
139	[NAME] Bởi vì trên tiên sơn kinh lịch bị người đố kỵ, bị người ác ý tản lời đồn đại.[NAME] Không thể làm gì, chỉ có thể dời xa nơi đây.
140	[NAME] Bởi vì tại trên tiên sơn kinh lịch mà khắp nơi cảm thấy hơn người một bậc, không nghĩ tới bởi vậy rước lấy tai họa, bị người ác ý hãm hại, cuối cùng mặc dù giữ lại tính mệnh, nhưng lại vĩnh viễn đã mất đi mắt trái.
141	[NAME] Bởi vì trên tiên sơn kinh lịch mà bị một võ lâm cao thủ nhìn trúng, nghĩ từ trên người hắn tra hỏi ra tiên nhân hành tung. May mà [NAME] Nhận biết đại thể, biết tuyệt đối không thể tiết lộ tiên sơn tung tích, cắn chặt răng không hé miệng. Tên này võ lâm cao thủ trong lòng cũng ước chừng, không dám quá phận bức bách, cuối cùng chỉ có thể thả đi hắn.
142	[NAME] Bởi vì tại trên tiên sơn kinh lịch mà khắp nơi cảm thấy hơn người một bậc, không nghĩ tới lại bởi vậy đắc tội một đại ẩn tại thị tiên nhân. Tiên nhân hơi thi trừng trị sau rời đi, [NAME] Mới biết được mình lần nữa bỏ qua tiên duyên, hối hận không thôi.
143	[NAME] Một lần ra ngoài lúc gặp được một tiên phong đạo cốt lão giả, loại khí chất này để [NAME] Nhớ tới trên tiên sơn Tiên gia, tưởng rằng tiên nhân chân chính, bởi vậy đủ kiểu ân cần nịnh bợ. Nhưng mà lão giả này lại giống nhau là bị đá ra tiên sơn người, cũng dùng cái này đi lừa gạt, [NAME] Bởi vậy bồi thường toàn bộ thân gia, mười phần thê thảm.
144	[NAME] Một lần ra ngoài lúc gặp một cái tiên phong đạo cốt lão giả, [NAME] Tưởng rằng tiên nhân hạ phàm, đau khổ cầu khẩn. Không nghĩ đến người này lại là một cái bị trục xuất sư môn tà tu, lừa gạt [NAME] Hai mươi năm tuổi thọ lặng yên rời đi, đáng thương [NAME] Bởi vậy đoản mệnh mà không biết.
145	[NAME] Một lần ra ngoài lúc gặp được một hành vi quái dị nhi đồng, [NAME] Nhớ tới trên tiên sơn nghe qua nghe đồn, tưởng rằng tiên nhân dạo chơi nhân gian, liền đau khổ nịnh bợ, không nghĩ tới đây chỉ là một thần kinh có vấn đề hài tử, náo loạn thật là lớn trò cười.
146	[NAME] Một lần ra ngoài lúc gặp được một khí chất dị thường nữ tử, [NAME] Nhớ tới trên tiên sơn nghe qua nghe đồn, tưởng rằng tiên nhân dạo chơi nhân gian, liền đau khổ nịnh bợ, không nghĩ đến người này chính là Hoàng gia công chúa vụng trộm ra du ngoạn, [NAME] Trong nháy mắt bị âm thầm bảo hộ công chúa thị vệ bắt lấy nghiêm hình thẩm vấn một phen.
147	[NAME] Một lần ra ngoài lúc gặp được một tiên phong đạo cốt lão giả cầu hắn hỗ trợ, [NAME] Tưởng rằng lừa đảo, liền không chút khách khí đem khu trục, thậm chí muốn đem hắn đánh cho một trận, không nghĩ đến người này thật là tiên nhân dạo chơi nhân gian. Tiên nhân chịu một trận đánh đập, cười ha ha, giá vân rời đi.[NAME] Lần nữa mất đi tiên duyên, hối tiếc không thôi.
148	[NAME] Sau khi chết một sợi hồn phách ngơ ngơ ngác ngác rơi vào Minh giới, bắt đầu chờ đợi một lần luân hồi.
149	[NAME] Lần này luân hồi rơi vào một cái đại hộ nhân gia, bởi vì [NAME] Thiên tư tuyệt đại, từ nhỏ đã bị [SCHOOL4] Thu làm đệ tử, nhảy ra luân hồi, lại vào tiên đồ.[NAME] Kiếp này lại hội diễn dịch ra tình tiết ra sao đâu? Còn chưa thể biết được.
150	[NAME] Lần này luân hồi trở thành một đôi Nguyên Anh người tu hành con trai độc nhất, mặc dù [NAME] Tư chất không tốt, nhưng cũng bị phụ mẫu các loại linh dược tỉ mỉ bồi dưỡng, có thể nhảy ra luân hồi, lại vào tiên đồ.[NAME] Kiếp này lại hội diễn dịch ra tình tiết ra sao đâu? Còn chưa thể biết được.
151	[NAME] Lần này luân hồi từ nhỏ bị một cái tà đạo người tu hành bắt đi đương đỉnh lô bồi dưỡng, cái này tà tu bị tru diệt sau, [NAME] Bởi vì tư chất còn có thể, bị [SCHOOLG4] Thu nhập nội môn, có thể nhảy ra luân hồi, lại vào tiên đồ.[NAME] Kiếp này lại hội diễn dịch ra tình tiết ra sao đâu? Còn chưa thể biết được.
152	[NAME] Lần này luân hồi chỗ thôn xóm bị tà phái chọn trúng lọt vào huyết tế, [NAME] Bởi vì tư chất còn có thể, bị [SCHOOLB4] Lưu lại tính mệnh thu làm môn hạ, có thể nhảy ra luân hồi, lại vào tiên đồ.[NAME] Kiếp này lại hội diễn dịch ra tình tiết ra sao đâu? Còn chưa thể biết được.
153	[NAME] Lần này luân hồi trở thành một cái bình thường nông dân, đáng tiếc bị cuốn vào một trận chính tà đại chiến bên trong, tên kia tà tu cùng đường mạt lộ, phát động cấm thuật, [NAME] Hóa thành cấm thuật nhiên liệu bị thần hình câu diệt, liền lần nữa luân hồi cũng không có thể, vĩnh viễn biến mất ở trong thiên địa.
154	[NAME] Cơ duyên xảo hợp, bị Minh giới chọn trúng trở thành quỷ sai. Cũng coi là lấy một loại khác hình thức nhảy ra luân hồi bên ngoài.
155	[NAME] Lần này luân hồi trở thành một đầu lợn rừng, dưới cơ duyên xảo hợp vậy mà nuốt một khối năm ngàn năm hà thủ ô, mở ra linh trí, trở thành một con yêu tu, có thể nhảy ra luân hồi.[NAME] Kiếp này lại hội diễn dịch ra tình tiết ra sao đâu? Còn chưa thể biết được.
156	[NAME] Lần này luân hồi trở thành một con con thỏ, dưới cơ duyên xảo hợp vậy mà xâm nhập một người tu sĩ kiến tạo tụ linh trận bên trong, mở ra linh trí, trở thành một con yêu tu, có thể nhảy ra luân hồi.[NAME] Kiếp này lại hội diễn dịch ra tình tiết ra sao đâu? Còn chưa thể biết được.
157	[NAME] Lần này luân hồi trở thành một con tiên hạc, bởi vì sinh màu mỡ, bị một vị tiên nhân điểm hóa, trở thành tọa kỵ, cũng mở ra linh trí, trở thành một con yêu tu, có thể nhảy ra luân hồi.[NAME] Kiếp này lại hội diễn dịch ra tình tiết ra sao đâu? Còn chưa thể biết được.
158	[NAME] Lần này luân hồi thành một bình thường thôn dân, tại một lần vào núi đồ ăn thuốc lúc gặp được một cái sắp chết tà tu. Tên này tà tu muốn đoạt bỏ, nhưng là tại đoạt bỏ tối hậu quan đầu chết đi, không duyên cớ đưa [NAME] Một thân tu vi, có thể nhảy ra luân hồi, lại vào tiên đồ.[NAME] Kiếp này lại hội diễn dịch ra tình tiết ra sao đâu? Còn chưa thể biết được.
159	[NAME] Lần này luân hồi tại một cái thương nhân nhà, tại một lần Tiên Duyên đại hội lúc bị [SCHOOL4] Chọn trúng, trở thành nội môn đệ tử, có thể nhảy ra luân hồi, lại vào tiên đồ.[NAME] Kiếp này lại hội diễn dịch ra tình tiết ra sao đâu? Còn chưa thể biết được.
160	[NAME] Bởi vì túc thế tích lũy hoang ngôn quá nhiều, bị đánh vào Cắt Lưỡi Địa Ngục bên trong đã chịu trăm năm cực hình.
161	[NAME] Bởi vì túc thế tích lũy tội ác quá nhiều, bị đánh vào đồng trụ trong địa ngục đã chịu trăm năm cực hình.
162	[NAME] Bởi vì túc thế tích lũy sát nghiệt quá nhiều, bị đánh vào núi đao trong địa ngục đã chịu trăm năm cực hình.
163	[NAME] Bởi vì túc thế tích lũy tham nghiệt quá nhiều, bị đánh vào núi lửa trong địa ngục đã chịu trăm năm cực hình.
164	[NAME] Số phận không tốt, đúng lúc gặp Âm Sơn băng liệt, bị câu vì khổ lực hơn trăm năm mới lấy tự do, trùng nhập luân hồi.
165	[NAME] Số phận không tốt, đúng lúc gặp Minh Hà tràn lan, bị câu vì khổ lực hơn trăm năm mới lấy tự do, trùng nhập luân hồi.
166	[NAME] Số phận không tốt, đúng lúc gặp quỷ đều ngàn năm một lần sửa chữa, bị câu vì khổ lực hơn trăm năm mới lấy tự do, trùng nhập luân hồi.
167	[NAME] Số phận không tốt, đúng lúc gặp Địa Ngục phản loạn, bị câu vì quỷ binh trấn áp Địa Ngục hơn trăm năm mới lấy tự do, trùng nhập luân hồi.
168	[NAME] Còn chưa tới kịp lại vào luân hồi, bị nhân gian một tà tu thi pháp bắt đi, luyện nhập pháp bảo bên trong gia tăng uy lực. Thẳng đến mấy chục năm sau, phương pháp này khí bị hủy, mới lấy lại vào luân hồi.
169	[NAME] Còn chưa tới kịp lại vào luân hồi, bị nhân gian một Tiên gia lấy ngũ quỷ vận chuyển pháp bắt đi, thành khổ lực làm người tu sửa môn phái. Thẳng đến mấy chục năm sau, khổ lực làm xong được phóng thích, mới lấy lại vào luân hồi.
170	[NAME] Còn chưa tới kịp lại vào luân hồi, bị nhân gian một tà tu bắt đi luyện vào pháp thuật. Thẳng đến mấy chục năm sau, tên này tà tu vẫn lạc, mới trùng hoạch tự do, có thể lại vào luân hồi.
171	[NAME] Còn chưa tới kịp lại vào luân hồi, bị nhân gian một tiên nhân bắt đi luyện thành Lục Đinh Lục Giáp khôi lỗi. Thẳng đến một lần đại địch xâm lấn, khôi lỗi bị hủy, mới lấy trùng hoạch tự do, lại vào luân hồi.
172	[NAME] Lần này luân hồi bị người ám hại mà chết, một điểm oán niệm không tiêu tan trở thành quỷ hồn. Thẳng đến hút khô cừu nhân dương khí, oán niệm tiêu tán mới trùng nhập luân hồi.
173	[NAME] Lần này luân hồi chết tại một cái Cửu U tuyệt địa bên trong, thụ hung lệ phong thuỷ chỗ nhiễm, hóa thành lệ quỷ, quát tháo mười mấy năm mới bị một Tiên gia xua tan oán niệm, trùng nhập luân hồi.
174	[NAME] Lần này luân hồi bị tà tu giết chết, luyện vì lệ quỷ. Sau tà tu bị tru sát, [NAME] Chạy trốn nhân gian, làm hại mười mấy năm mới bị một cao nhân cách làm xua tan oán niệm, trùng nhập luân hồi.
175	[NAME] Lần này luân hồi trở thành một con rắn, nhưng mà lại bị một đám sơn tặc bắt lấy, chà đạp đùa bỡn mấy tháng mới chết. Sau khi chết oán niệm không tản ra vì lệ quỷ, đem sơn tặc đều giết chết, sau đó chiếm cứ một phương đã có thành tựu. Thẳng đến tao ngộ lôi kiếp mới bị đánh tán oán khí, trùng nhập luân hồi.
176	[NAME] Lần này luân hồi trở thành một đầu chó săn, nương theo chủ nhân tung Hoành Sơn rừng. Tại một lần đi săn bên trong, vì cứu mình chủ nhân bất hạnh chết bởi con mồi vây công hạ, lại vào luân hồi.
177	[NAME] Lần này luân hồi trở thành một đầu bò sữa, chen lấn cả một đời sữa, tuổi già sau bị chém giết nấu thịt bò, lại vào luân hồi.
178	[NAME] Lần này luân hồi trở thành một con gà, vừa ra đời không bao lâu liền bị làm gà con hầm nấm, trùng nhập luân hồi.
179	[NAME] Lần này luân hồi thành một con rùa đen, bình thường không có gì lạ sống hơn năm trăm năm mới thọ chung, trùng nhập luân hồi.
180	[NAME] Lần này luân hồi trở thành một con con thỏ, bị một đám sơn tặc chộp tới làm tê cay thỏ đầu.
181	[NAME] Lần này luân hồi trở thành một con kiến, bị một cái hùng hài tử đi tiểu rót tổ kiến mà chết đuối, trùng nhập luân hồi.
182	[NAME] Lần này luân hồi trở thành một con cóc, tại kêu to lúc bị một võ lâm cao thủ quan sát, lại từ đó ngộ ra một môn võ công tuyệt thế. Tên này cao thủ vui mừng quá đỗi, thôi phát nội lực tại trên hồ nổ ra sóng lớn để diễn tả vui sướng tâm tình, con cóc này như vậy bị tạc chết, trùng nhập luân hồi.
183	[NAME] Lần này luân hồi trở thành một con vẹt, bởi vì chuyên học mắng chửi người thô tục, miệng đặc biệt thối, bị người lột sạch lông vũ, tươi sống chết cóng.
184	[NAME] Lần này luân hồi đầu thai đến một nhà thư hương môn đệ, hắn từ tiểu học giàu năm xe, khảo thủ công danh, vượt qua cả đời, có thể kết thúc yên lành, trùng nhập luân hồi.
185	[NAME] Lần này luân hồi đầu thai đến một nhà bình thường nông hộ bên trong, vậy mà cơ duyên xảo hợp bị tiên nhân chọn trúng lên núi làm đồng tử. Nhưng mà [NAME] Vẫn là thiếu tiên duyên, bởi vì phạm sai lầm bị đuổi xuống núi, đang hối hận bên trong kết thúc cả đời.
186	[NAME] Lần này luân hồi đầu thai đến một hộ gia đình thương nhân bên trong, tại một lần giao dịch bên trong lộ tiền tài, bị người theo đuôi mưu tài sát hại tính mệnh, trùng nhập luân hồi.
187	[NAME] Lần này luân hồi trở thành một cái bần nông chi tử, lúc còn rất nhỏ được bệnh nặng, không có tiền trị liệu, như vậy chết yểu, trùng nhập luân hồi.
188	[NAME] Lần này luân hồi trở thành một thư sinh, nhưng mà bởi vì ngộ tính quá thấp, thi cả một đời công danh không trúng, cuối cùng buồn bực sầu não mà chết, trùng nhập luân hồi.
189	[NAME] Lần này luân hồi lưu lạc thanh lâu, trở thành một pháo hoa nữ tử. Đau khổ nửa đời, cuối cùng nhảy sông tự sát, trùng nhập luân hồi.
190	[NAME] Lần này luân hồi trở thành một cái hoàng thất công chúa, vì trấn an Man tộc bị gả vào tái ngoại, tuổi còn trẻ ngay tại đau khổ bên trong qua đời, trùng nhập luân hồi.
191	[NAME] Lần này luân hồi trở thành một cái hoàng thất công chúa, gả cho đương triều Tể tướng làm vợ, vượt qua giàu có một đời, thọ hết chết già, trùng nhập luân hồi.
192	[NAME] Lần này luân hồi gia đạo sa sút, biến thành tên ăn mày. Tại một lần ăn xin bên trong bị đi ngang qua quyền quý một mã tiên quất vào trên đầu, bên đường chết, trùng nhập luân hồi.
193	[NAME] Lần này luân hồi đầu nhập một cái người giàu có nhà, nhưng lại nhiễm lên đánh bạc thói quen, cuối cùng biến thành tên ăn mày, cuối cùng chết đói tại đầu đường, trùng nhập luân hồi.
194	[NAME] Lần này luân hồi trở thành tướng quân chi tử, nhưng mà tướng quân lại bị kẻ thù chính trị vu hãm phản loạn, bị liên luỵ cửu tộc, chết tại pháp trường bên trên, trùng nhập luân hồi.
195	[NAME] Lần này luân hồi mười phần không may, bất luận làm cái gì đều thất bại, cuối cùng không chịu nổi, nhảy sông tự sát, trùng nhập luân hồi.
196	[NAME] Lần này luân hồi sinh ra ở một cái ngăn cách thôn xóm, tại bình an vui sướng bên trong vượt qua cả đời, mười phần hạnh phúc.
197	[NAME] Cuối cùng đã mất đi tất cả nhân loại tình cảm, hóa thành thần linh, thoát ly trần thế.
198	[NAME] Tuân theo tín đồ cầu nguyện, ở trong hỗn độn mở một phương thế giới an trí mình thần quốc, sẽ không tiếp tục cùng ngoại giới giao lưu, tự cấp tự túc, vô tai vô kiếp, vĩnh hưởng tự tại.
199	Tại Ma Đế giao tích không vận chuyển 《 Đằng thiên thư 》, mượn Đông Hoàng sắc lệnh vận chuyển ngàn năm khí vận mở rộng càn khôn giới đồng thời, tu tiên giới đã phát sinh long trời lở đất biến đổi lớn. Thế giới này không trọn vẹn thiên đạo tại đại thiên thế giới thiên đạo dẫn dắt hạ, chậm rãi bắt đầu vỡ vụn, cũng dần dần trở về đại thiên thế giới. Thụ ảnh hưởng này, tu tiên giới chúng tu sĩ công thể đều phát sinh lui chuyển, mà lại công lực tinh thâm người càng hơn, trong lúc nhất thời loạn cục sơ hiện, lòng người bàng hoàng.
200	Tại Ma Đế giao tích không vận chuyển 《 Đằng thiên thư 》, mượn Đông Hoàng sắc lệnh vận chuyển ngàn năm khí vận mở rộng càn khôn giới đồng thời, tu tiên giới đã phát sinh long trời lở đất biến đổi lớn. Thế giới này không trọn vẹn thiên đạo tại đại thiên thế giới thiên đạo dẫn dắt hạ, chậm rãi bắt đầu vỡ vụn, cũng dần dần trở về đại thiên thế giới. Thụ ảnh hưởng này, tu tiên giới chúng tu sĩ công thể đều phát sinh lui chuyển, mà lại công lực tinh thâm người càng hơn, trong lúc nhất thời loạn cục sơ hiện, lòng người bàng hoàng.
201	Tại Ma Đế giao tích không vận chuyển 《 Đằng thiên thư 》, mượn Đông Hoàng sắc lệnh vận chuyển ngàn năm khí vận mở rộng càn khôn giới đồng thời, tu tiên giới đã phát sinh long trời lở đất biến đổi lớn. Thế giới này không trọn vẹn thiên đạo tại đại thiên thế giới thiên đạo dẫn dắt hạ, chậm rãi bắt đầu vỡ vụn, cũng dần dần trở về đại thiên thế giới. Thụ ảnh hưởng này, tu tiên giới chúng tu sĩ công thể đều phát sinh lui chuyển, mà lại công lực tinh thâm người càng hơn, trong lúc nhất thời loạn cục sơ hiện, lòng người bàng hoàng.
202	Tại Ma Đế giao tích không vận chuyển 《 Đằng thiên thư 》, mượn Đông Hoàng sắc lệnh vận chuyển ngàn năm khí vận mở rộng càn khôn giới đồng thời, tu tiên giới đã phát sinh long trời lở đất biến đổi lớn. Thế giới này không trọn vẹn thiên đạo tại đại thiên thế giới thiên đạo dẫn dắt hạ, chậm rãi bắt đầu vỡ vụn, cũng dần dần trở về đại thiên thế giới. Thụ ảnh hưởng này, tu tiên giới chúng tu sĩ công thể đều phát sinh lui chuyển, mà lại công lực tinh thâm người càng hơn, trong lúc nhất thời loạn cục sơ hiện, lòng người bàng hoàng.
203	[NAME] Mặc dù đạt được trong phái trưởng lão chỉ điểm, nhưng một viên khát vọng tu hành tâm từ đầu đến cuối nhẫn nại không được. Tại thế giới người phàm sinh hoạt một khoảng thời gian sau, [NAME] Vẫn là mạo hiểm trở lại Trung Nguyên. Lúc đó tu hành giới chi loạn đã bộc phát, tiên nhân tranh đấu phía dưới, phàm nhân tính mệnh như cỏ rác.[NAME] Trúng đích nên có kiếp nạn này, tại một lần thăm viếng thâm sơn thời điểm, tao ngộ tiên nhân đấu pháp, rơi vào hài cốt không còn.
204	[NAME] Đạt được trong phái trưởng lão chỉ điểm, mặc dù không biết sao, nhưng [IT] Biết rõ tu tiên giới chi hiểm ác, thế là liền tắt tâm tư, an tâm sinh hoạt.[IT] Lợi dụng tại sơn môn Tiên gia kiến thức, tại rời xa Trung Nguyên một phàm nhân quốc gia hỗn phong thanh nước lên, mặc dù lại không tiên duyên, nhưng cũng qua phong quang một đời, thọ tận mà kết thúc.
